cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_155	2.48582e-06	8.28917e-09	1.32475e-08	0.381367	0.618631	8.54183e-09
Cell_156	7.2884e-08	0.253974	3.17201e-07	0.0355448	0.675347	0.0351341
Cell_157	1.7751e-22	9.00943e-15	9.45992e-25	0.736895	0.263105	3.46084e-14
Cell_158	0.999116	3.39709e-05	0.000283393	0.000299308	8.4712e-05	0.000182594
Cell_159	7.04068e-21	3.12963e-05	7.11987e-19	0.651876	0.348084	8.48572e-06
Cell_160	8.33179e-17	0.475972	2.337e-12	0.397741	0.0604428	0.0658447
Cell_161	1.71213e-20	0.024959	1.30981e-14	0.0347087	0.933565	0.00676741
Cell_162	2.00613e-24	1.823e-06	4.49702e-21	0.0235015	0.976489	8.06392e-06
Cell_163	2.98986e-21	0.708822	4.80483e-13	0.191224	0.00189723	0.0980566
Cell_164	1.96933e-35	1.45779e-07	6.42956e-19	0.0922636	0.907736	6.20917e-07
Cell_165	1.77207e-19	5.3444e-09	1.25889e-18	0.604117	0.395883	2.894e-08
Cell_166	6.57778e-25	0.999585	2.95797e-16	0.000191609	1.6764e-07	0.000223268
Cell_167	8.16043e-20	1.73807e-08	1.329e-12	0.982269	0.0177305	6.22306e-08
Cell_168	1.34882e-07	0.00146937	5.41239e-09	0.689139	0.308993	0.000398408
Cell_169	6.69799e-17	2.64834e-05	4.46184e-14	0.999093	0.000746883	0.000133865
Cell_170	6.28702e-50	4.36436e-16	6.76606e-29	0.259655	0.740345	9.54161e-16
Cell_171	7.35618e-43	0.00758368	2.91728e-37	0.100164	0.891203	0.00104911
Cell_172	7.45001e-28	1.60194e-10	4.17374e-22	0.68316	0.31684	6.15362e-10
Cell_173	2.75612e-20	0.000129007	4.30749e-16	0.0643252	0.934843	0.00070324
Cell_174	1.26942e-14	0.00376571	1.0958e-14	0.0296894	0.966024	0.000520939
Cell_175	3.59595e-19	6.89931e-09	1.91637e-21	0.963496	0.0365043	3.22958e-08
Cell_176	1.80546e-28	3.68033e-15	1.9983e-22	0.338658	0.661342	1.41374e-14
Cell_177	1.35891e-12	0.000884005	6.49195e-13	0.0137061	0.985002	0.000407875
Cell_178	9.54235e-22	1.79745e-11	7.9459e-22	0.293305	0.706695	8.20138e-11
Cell_179	1.09902e-24	3.80741e-11	5.85693e-27	0.0286693	0.971331	1.36322e-10
Cell_180	6.17314e-35	5.49441e-16	2.90394e-26	0.986339	0.0136612	1.96725e-15
Cell_181	6.41506e-21	1.35558e-06	4.22314e-19	0.930604	0.069388	6.77987e-06
Cell_182	2.39367e-29	5.30968e-10	6.34256e-23	0.456326	0.543674	2.86037e-09
Cell_183	1.76457e-17	3.19814e-05	1.56162e-14	0.00280326	0.996992	0.000173084
Cell_184	1.31855e-32	4.27933e-08	4.31718e-22	0.872917	0.127083	2.33475e-07
Cell_185	1.23111e-23	0.000359869	4.64937e-16	0.553682	0.445792	0.000166042
Cell_186	5.3757e-23	6.36099e-05	1.33802e-16	0.00518131	0.994408	0.000346785
Cell_187	2.26737e-25	6.4192e-11	1.20257e-25	0.227909	0.772091	3.49733e-10
Cell_188	5.92883e-20	9.29989e-08	9.31915e-20	0.77199	0.22801	3.57241e-07
Cell_189	1.53735e-16	9.88281e-10	8.19292e-19	0.604495	0.395505	4.50932e-09
Cell_190	1.36754e-18	4.39963e-10	7.28792e-21	0.62949	0.37051	1.44394e-09
Cell_191	1.20741e-31	3.38642e-13	8.46374e-26	0.00577636	0.994224	9.97796e-13
Cell_192	4.89543e-16	0.0521886	1.02392e-08	0.662848	0.00174673	0.283216
Cell_193	7.22274e-17	2.48835e-08	3.84917e-19	0.569978	0.430022	9.5586e-08
Cell_194	2.4544e-27	1.12543e-07	2.55497e-22	0.996644	0.00335552	5.47712e-07
Cell_195	0.998688	6.92112e-05	0.000282387	0.00057928	1.73268e-05	0.00036352
Cell_196	1.46473e-28	0.00013523	1.14871e-19	0.0436583	0.95611	9.68045e-05
Cell_197	3.46206e-16	4.39508e-05	1.16091e-13	0.641144	0.358767	4.52904e-05
Cell_198	7.04751e-12	0.999152	1.18535e-10	0.000123771	0.000694245	3.0452e-05
Cell_199	2.7601e-26	1	3.81362e-20	7.42295e-08	1.69172e-10	4.44196e-08
Cell_200	4.39306e-23	7.61757e-13	2.34117e-25	0.982161	0.0178389	3.98375e-12
Cell_201	0.999298	4.48756e-05	0.00028332	0.00018788	3.60107e-06	0.000182489
Cell_202	3.00952e-24	3.01323e-07	1.49976e-17	0.729219	0.270781	1.39029e-07
Cell_203	0.999265	5.56897e-05	0.000283762	0.000203976	8.64343e-06	0.000182772
Cell_204	5.46352e-13	0.108558	2.91164e-15	0.578797	0.118872	0.193773
Cell_205	9.57851e-15	3.34629e-08	1.50886e-09	0.104179	0.895821	3.44828e-08
Cell_206	6.43884e-26	1.15668e-11	3.30381e-23	0.0551886	0.944811	3.13624e-12
Cell_207	9.31234e-14	0.000992103	1.31784e-15	0.0224358	0.974014	0.00255783
Cell_208	5.77321e-27	5.78027e-10	1.41082e-21	0.0201807	0.979819	2.70575e-09
Cell_209	1.03801e-24	0.999881	1.47298e-15	4.33649e-05	6.27141e-05	1.26084e-05
Cell_210	9.43114e-37	8.30982e-30	2.87385e-37	0.648227	0.351773	4.44703e-29
Cell_211	3.52934e-30	2.61847e-12	2.50805e-28	0.719241	0.280759	1.40129e-11
Cell_212	8.74476e-13	6.3163e-05	5.74079e-15	0.0047593	0.994921	0.000256856
Cell_213	1.30599e-30	2.91784e-08	9.30923e-19	0.998332	0.00166748	2.08874e-08
Cell_214	5.5278e-28	1.08587e-12	1.25465e-25	0.989719	0.0102812	4.41575e-12
Cell_215	3.89581e-20	0.000970133	5.29852e-16	0.00660391	0.987266	0.00515999
Cell_216	1.27804e-27	2.14718e-08	4.57663e-25	0.0603294	0.939671	5.53584e-08
Cell_217	2.00495e-17	2.64625e-06	5.66925e-21	0.834014	0.165983	3.66076e-07
Cell_218	0.997688	0.00131477	0.000282372	0.000252011	0.000280999	0.000181883
Cell_219	1.13756e-31	1.268e-15	9.3588e-26	0.962464	0.0375361	6.89946e-15
Cell_220	1.61617e-20	0.000131893	1.9004e-14	0.0187587	0.980443	0.000666677
Cell_221	6.591e-40	1.9959e-11	9.18071e-23	0.898339	0.101661	1.06159e-10
Cell_222	3.18802e-24	4.03174e-06	1.49346e-19	0.90677	0.0932203	5.61594e-06
Cell_223	1.3624e-37	8.24308e-16	1.79794e-26	0.0457137	0.954286	2.12523e-15
Cell_224	2.74009e-11	6.09231e-05	7.34104e-14	0.126693	0.873202	4.36119e-05
Cell_225	7.19122e-25	5.03499e-12	1.26008e-24	0.791095	0.208905	2.70279e-11
Cell_226	0.999107	8.39746e-05	0.00028491	0.000320902	1.91635e-05	0.00018359
Cell_227	4.33719e-21	8.32576e-09	5.78904e-18	0.687488	0.312512	4.35411e-08
Cell_228	7.9363e-14	1.26482e-06	4.22944e-16	0.854237	0.145759	3.26096e-06
Cell_229	1.27883e-32	9.51111e-24	3.65642e-30	0.807469	0.192531	4.92114e-23
Cell_230	3.03223e-18	4.96436e-10	9.87426e-19	0.332077	0.667923	2.66487e-09
Cell_231	5.67713e-23	9.33256e-05	1.53546e-16	0.0450411	0.954468	0.000397502
Cell_232	8.76956e-32	7.39066e-16	8.83062e-24	0.986628	0.0133719	3.92086e-15
Cell_233	0.992997	0.00066741	0.000280904	0.00372902	0.00214424	0.000180963
Cell_234	9.66653e-10	1.27481e-12	2.7368e-13	0.343873	0.656127	1.76353e-13
Cell_235	4.48848e-22	3.29524e-07	2.50766e-18	0.0220814	0.977918	7.20424e-07
Cell_236	4.01642e-27	1.57877e-08	7.1975e-18	0.21173	0.78827	5.18147e-08
Cell_237	7.0331e-21	0.00265238	1.03414e-15	0.236704	0.748911	0.0117326
Cell_238	4.77553e-23	1.63884e-06	4.83636e-17	0.0431622	0.956833	2.92528e-06
