cell	Node 0	Node 1	Node 2	Node 3
Cell_205	1.10524e-06	0.412882	0.0082683	0.578849
Cell_206	2.44111e-21	0.0175463	0.00132819	0.981125
Cell_207	3.05015e-12	0.329941	0.00267027	0.667389
Cell_208	1.95214e-18	0.143809	0.000650614	0.855541
Cell_209	3.17198e-12	0.000614444	0.998603	0.000782714
Cell_210	2.39026e-35	0.396181	0.00157517	0.602244
Cell_211	2.99225e-26	0.467237	0.00185768	0.530905
Cell_212	1.93981e-11	0.11442	0.00059331	0.884987
Cell_213	2.1765e-16	0.952874	0.0274069	0.0197187
Cell_214	1.37241e-23	0.403687	0.00209326	0.59422
Cell_215	7.70661e-13	0.0976258	0.000390446	0.901984
Cell_216	5.47069e-22	0.558132	0.00451706	0.437351
Cell_217	2.86699e-19	0.169158	0.0250971	0.805745
Cell_218	0.987665	0.00654065	0.000970402	0.00482385
Cell_219	1.01875e-23	0.493374	0.00193047	0.504696
Cell_220	1.09627e-11	0.0817588	0.000343442	0.917898
Cell_221	1.05899e-20	0.408898	0.00163535	0.589467
Cell_222	1.35172e-17	0.366859	0.00544916	0.627692
Cell_223	1.07619e-23	0.217847	0.00176308	0.78039
Cell_224	7.44128e-11	0.650928	0.0187222	0.33035
Cell_225	1.51284e-22	0.85114	0.00337404	0.145485
Cell_226	0.988689	0.0102515	9.75687e-05	0.00096202
Cell_227	8.81128e-16	0.480953	0.00195511	0.517092
Cell_228	6.37041e-14	0.562466	0.00455214	0.432982
Cell_229	3.04051e-28	0.460424	0.00189103	0.537685
Cell_230	3.0586e-16	0.526168	0.00208581	0.471746
Cell_231	2.06483e-13	0.3524	0.00174699	0.645853
Cell_232	1.35113e-21	0.611168	0.00245039	0.386381
Cell_233	0.852806	0.0498839	0.00377603	0.0935341
Cell_234	9.18126e-11	0.610663	0.090601	0.298736
Cell_235	7.29714e-15	0.290794	0.00276762	0.706439
Cell_236	2.90373e-15	0.404827	0.00258665	0.592586
Cell_237	6.38043e-13	0.909534	0.00434664	0.0861196
Cell_238	7.91158e-14	0.372866	0.00433413	0.6228
Cell_239	0.000292482	0.524637	0.0778377	0.397233
Cell_240	1.53161e-15	0.359287	0.0271967	0.613516
Cell_241	6.54068e-20	0.582746	0.0441118	0.373142
Cell_242	5.08311e-25	0.181508	0.000712545	0.81778
Cell_243	4.55092e-28	0.446263	0.00213268	0.551604
Cell_244	6.40216e-16	0.305109	0.00119444	0.693697
Cell_245	7.91794e-11	0.221988	0.00121664	0.776796
Cell_246	3.53429e-31	0.286948	0.00333543	0.709717
Cell_247	9.35986e-11	0.21176	0.00101199	0.787228
Cell_248	2.12568e-06	0.924994	0.010752	0.064252
Cell_249	1.47817e-23	0.520379	0.00332497	0.476296
Cell_250	0.992192	0.0058686	2.9093e-05	0.00191025
Cell_251	9.22587e-18	0.524286	0.00778751	0.467927
Cell_252	6.07223e-16	0.689663	0.00801652	0.302321
Cell_253	7.58764e-10	0.130468	0.00124173	0.86829
Cell_254	5.95577e-16	0.540034	0.0024432	0.457523
Cell_255	2.83395e-19	0.607275	0.00491479	0.38781
Cell_256	3.46305e-05	0.919782	0.0264551	0.0537282
Cell_257	6.88286e-16	0.663524	0.00423959	0.332237
Cell_258	2.15241e-21	0.312411	0.00123422	0.686355
Cell_259	2.89562e-22	0.801913	0.00371891	0.194368
Cell_260	1.78173e-11	0.0200502	0.00016227	0.979788
Cell_261	0.00602582	0.841136	0.124795	0.0280432
Cell_262	3.94835e-26	0.548066	0.0024292	0.449505
Cell_263	4.60668e-24	0.135689	0.000531948	0.863779
Cell_264	1.1549e-11	0.265889	0.00309065	0.73102
Cell_265	2.01712e-16	0.258553	0.00103406	0.740413
Cell_266	2.37226e-10	0.660329	0.029413	0.310258
Cell_267	0.997202	0.00263646	1.22267e-05	0.000148961
Cell_268	4.16689e-15	0.785916	0.00913535	0.204949
Cell_269	5.52304e-35	0.0538943	0.00155013	0.944556
Cell_270	4.50555e-24	0.0190078	9.08377e-05	0.980901
Cell_271	4.21787e-09	0.392754	0.00317863	0.604068
Cell_272	6.74625e-06	0.440258	0.0196104	0.540125
Cell_273	1.29367e-23	0.332001	0.00129779	0.666702
Cell_274	4.70625e-22	1.18334e-13	1	1.30346e-14
Cell_275	2.55593e-07	0.0775843	0.00155369	0.920862
Cell_276	0.98988	0.00835344	0.000124078	0.00164254
Cell_277	3.01973e-16	0.35492	0.00251999	0.64256
Cell_278	0.000679027	0.18929	0.0280839	0.781947
Cell_279	3.47763e-24	0.682919	0.00326365	0.313818
Cell_280	2.49634e-11	0.017966	0.980317	0.00171717
Cell_281	7.92944e-11	0.0865682	0.000401463	0.91303
Cell_282	4.67434e-19	0.413319	0.00168823	0.584993
Cell_283	5.28015e-19	0.546416	0.024339	0.429245
Cell_284	6.9241e-18	0.16408	0.000689246	0.835231
Cell_285	1.2588e-23	0.488748	0.00207415	0.509178
Cell_286	1.16634e-17	0.280581	0.00130121	0.718117
Cell_287	1.96173e-24	0.43843	0.00877993	0.55279
Cell_288	0.990416	0.00911128	7.37392e-05	0.000398657
Cell_289	0.987364	0.0110607	4.39075e-05	0.00153119
Cell_290	1.45428e-23	0.518473	0.00331279	0.478214
Cell_291	4.60931e-19	0.561073	0.00454087	0.434386
Cell_292	3.58191e-15	0.592282	0.0032461	0.404472
Cell_293	3.06642e-23	0.9562	0.00401669	0.0397836
Cell_294	3.53127e-14	1.1186e-05	0.999988	1.143e-06
Cell_295	3.57265e-22	0.125341	0.000621365	0.874038
Cell_296	0.000606965	0.964341	0.0112093	0.0238431
Cell_297	8.3311e-17	0.667246	0.0989959	0.233758
Cell_298	5.25715e-19	0.841972	0.00335343	0.154675
Cell_299	5.58748e-20	0.429613	0.00170091	0.568686
Cell_300	2.75438e-22	0.391885	0.0174557	0.59066
Cell_301	7.92048e-10	4.12286e-05	0.999957	2.24261e-06
Cell_302	2.26759e-15	0.181614	0.00106593	0.81732
Cell_303	3.76447e-23	0.427065	0.0190227	0.553912
Cell_304	2.01602e-19	0.852469	0.00335694	0.144175
Cell_305	3.62005e-21	0.292539	0.00841412	0.699046
Cell_306	6.0577e-14	0.814587	0.120856	0.0645571
Cell_307	3.86894e-12	0.93073	0.0414574	0.0278128
Cell_308	1.59247e-22	0.257253	0.00105077	0.741696
Cell_309	4.24039e-16	0.446479	0.00189477	0.551626
Cell_310	1.09503e-07	0.397965	0.0301245	0.57191
Cell_311	3.78656e-17	0.016857	0.000250386	0.982893
Cell_312	1.97797e-15	0.197821	0.00229943	0.79988
Cell_313	9.17267e-19	0.188192	0.796504	0.0153038
Cell_314	2.65642e-10	0.510175	0.00201987	0.487805
Cell_315	1.44851e-21	0.138631	0.0104939	0.850875
Cell_316	5.30221e-22	0.000158935	0.99973	0.00011126
Cell_317	1.90927e-13	0.890533	0.0256138	0.0838531
Cell_318	1.95946e-11	0.431949	0.0019542	0.566097
Cell_319	4.44267e-16	0.712107	0.0317193	0.256174
Cell_320	4.09667e-14	0.0552441	0.000392243	0.944364
Cell_321	3.57067e-11	0.179977	0.00171293	0.81831
Cell_322	2.1167e-51	0.416664	0.00244549	0.580891
Cell_323	1.03573e-15	0.309427	0.00169587	0.688877
Cell_324	7.75296e-13	0.974284	0.00451828	0.0211977
Cell_325	9.56044e-17	0.436573	0.00187521	0.561551
Cell_326	7.28302e-42	0.0547589	0.000214413	0.945027
Cell_327	1.95733e-14	4.38636e-06	0.999996	8.95829e-08
Cell_328	4.6079e-22	0.451796	0.00204399	0.54616
Cell_329	2.82651e-18	0.240502	0.000944141	0.758553
Cell_330	8.634e-15	0.307774	0.00885229	0.683374
Cell_331	0.991186	0.00770994	0.000154398	0.000949561
Cell_332	1.798e-18	0.0206095	9.13476e-05	0.979299
Cell_333	1.31594e-25	0.98387	0.00417534	0.0119542
Cell_334	6.8771e-13	0.930807	0.00363547	0.0655579
Cell_335	2.47144e-17	0.379643	0.00148879	0.618868
