cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_976	1.11179e-56	3.70341e-14	4.56422e-15	0.000882359	0.994256	6.14419e-29	0.000415372	0.00444642
Cell_977	2.54689e-20	4.36568e-08	2.0425e-07	0.0180256	0.972549	1.32356e-23	0.00851766	0.000907196
Cell_978	7.05717e-18	0.000132994	8.39849e-05	0.00186366	0.995817	1.96387e-16	0.000914715	0.00118805
Cell_979	0.1901	0.000458941	0.000644636	0.585867	0.00494121	3.16245e-14	0.0489904	0.168998
Cell_980	1.37382e-21	0.284559	0.0368546	0.278871	0.298842	6.23292e-11	0.0871924	0.0136808
Cell_981	2.01183e-13	1.13171e-07	7.14667e-08	0.316375	8.81484e-06	4.74841e-14	0.0108829	0.672734
Cell_982	1.69978e-17	0.00946748	0.00597866	0.476813	9.72149e-07	2.11276e-14	0.00523685	0.502503
Cell_983	5.46198e-24	2.13476e-14	2.98372e-15	0.823146	3.8351e-07	5.20665e-24	0.0128576	0.163996
Cell_984	0.999557	0.000129617	3.30795e-05	0.000257952	3.12383e-09	6.61111e-16	1.52531e-05	7.08181e-06
Cell_985	7.83844e-28	4.47606e-05	5.59531e-06	0.572417	0.0171073	3.9073e-12	0.0692373	0.341188
Cell_986	0.999157	0.000129915	0.000607812	3.82326e-05	4.77663e-05	9.44474e-15	1.7456e-05	1.63369e-06
Cell_987	1.09178e-26	7.40878e-11	1.04065e-10	0.615501	0.0558267	1.9047e-23	0.0591173	0.269555
Cell_988	2.99112e-15	0.00559643	0.0261831	0.157298	0.610422	2.01119e-13	0.0123207	0.188179
Cell_989	0.999773	0.000136965	1.70631e-05	4.14482e-05	3.40157e-07	1.12307e-05	1.73294e-05	2.9397e-06
Cell_990	1.71254e-19	2.14273e-07	7.85409e-08	0.000659629	0.99782	5.90458e-14	0.0002645	0.00125524
Cell_991	5.12204e-18	6.80382e-08	1.52336e-08	0.757271	0.0349845	1.66319e-18	0.0430303	0.164714
Cell_992	3.52795e-10	0.134643	0.12212	0.655272	2.84841e-06	1.29034e-11	0.0319408	0.0560219
Cell_993	1.19796e-33	1.66631e-13	2.17195e-14	0.190165	1.02918e-05	3.0961e-27	0.00333556	0.806489
