cell	Node 0	Node 1	Node 2
Cell_212	1.55728e-09	0.992451	0.00754855
Cell_213	5.52224e-43	0.992425	0.00757493
Cell_214	2.23654e-28	0.992404	0.00759623
Cell_215	4.08543e-32	0.992452	0.00754849
Cell_216	9.96798e-45	0.992372	0.00762792
Cell_217	8.94476e-83	6.28524e-28	1
Cell_218	6.3276e-50	0.992451	0.00754926
Cell_219	4.40591e-35	0.992448	0.00755196
Cell_220	1.12479e-31	0.992438	0.00756193
Cell_221	8.18296e-33	0.992417	0.00758314
Cell_222	3.03107e-46	5.26191e-14	1
Cell_223	3.21306e-36	0.957267	0.0427332
Cell_224	1.79261e-50	0.992452	0.00754849
Cell_225	1.11036e-44	1.77656e-12	1
Cell_226	9.2689e-33	0.992449	0.00755127
Cell_227	1.79475e-76	0.992415	0.00758487
Cell_228	1.15665e-20	0.00247575	0.997524
Cell_229	1.0636e-52	0.988542	0.011458
Cell_230	4.48983e-28	0.992434	0.00756553
Cell_231	2.39915e-75	0.9924	0.00759959
Cell_232	1.10107e-59	0.992447	0.00755273
Cell_233	4.16774e-20	0.992439	0.00756118
Cell_234	1.31019e-42	0.992386	0.00761434
Cell_235	1.22038e-27	0.992444	0.00755628
Cell_236	1.23971e-34	0.992449	0.00755127
Cell_237	1.11095e-54	0.992028	0.0079717
Cell_238	5.18246e-27	0.960911	0.0390893
Cell_239	7.28416e-42	0.992401	0.00759889
Cell_240	2.66932e-64	1.93908e-06	0.999998
Cell_241	4.40872e-78	0.99245	0.00754996
Cell_242	1.58338e-40	0.00639582	0.993604
Cell_243	6.21402e-42	0.992423	0.00757652
Cell_244	1.26108e-13	0.991781	0.00821897
Cell_245	7.60927e-22	0.992434	0.00756595
Cell_246	1.10178e-10	0.992445	0.00755517
Cell_247	1.49704e-44	0.99245	0.00755008
Cell_248	0.998946	0.00104644	7.97216e-06
Cell_249	4.2954e-21	0.991125	0.00887496
Cell_250	1.41862e-33	0.992451	0.00754855
Cell_251	8.20643e-41	0.992438	0.00756192
Cell_252	4.60295e-50	0.992452	0.00754842
Cell_253	3.32502e-53	0.992391	0.00760858
Cell_254	2.70752e-100	0.992451	0.00754871
Cell_255	3.01228e-56	0.992426	0.00757414
Cell_256	6.50316e-36	0.99245	0.00755009
Cell_257	3.63615e-26	0.992383	0.00761657
Cell_258	3.6771e-33	0.992446	0.00755377
Cell_259	2.021e-64	0.992292	0.00770824
Cell_260	0.0677906	0.925165	0.00704457
Cell_261	1.0964e-41	0.992432	0.00756811
Cell_262	2.12346e-21	0.992292	0.00770824
Cell_263	1.82689e-19	0.982725	0.0172755
Cell_264	3.15014e-46	0.99245	0.00754968
Cell_265	2.14878e-27	0.992386	0.00761434
Cell_266	3.33348e-28	0.986329	0.0136711
Cell_267	3.51111e-41	0.913502	0.0864979
Cell_268	9.58821e-20	0.991948	0.0080525
Cell_269	1.28302e-23	0.99235	0.00764997
Cell_270	8.70854e-30	1.29825e-05	0.999987
Cell_271	2.2865e-18	0.0400583	0.959942
Cell_272	3.14316e-23	0.992449	0.00755127
