cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_1858	2.33201e-21	7.74321e-05	0.0190556	0.000430645	0.000904125	0.0129653	0.000269779	0.000211844	0.518644	0.0199819	0.42746
Cell_1859	1.22336e-25	2.62186e-06	0.000439969	9.01815e-06	0.000115765	0.00111014	1.41525e-08	2.34935e-06	2.02551e-11	0.000667647	0.997652
Cell_1860	1.26708e-30	0.00164536	0.0236944	0.000811346	0.0350555	0.0143542	5.61406e-15	0.781559	2.89512e-10	0.14288	3.03431e-12
Cell_1861	3.39292e-08	0.00453981	1.645e-16	3.78353e-18	7.09744e-17	5.21362e-17	0.99546	6.48575e-16	7.55657e-33	1.16786e-16	2.56741e-19
Cell_1862	1.50451e-26	4.50777e-05	0.00619547	0.000125897	0.000356231	0.00251263	0.00146137	0.00498389	0.979146	0.00517382	5.68112e-10
Cell_1863	9.23484e-24	0.019854	0.00117173	0.000231589	0.000100424	5.62389e-05	0.838531	0.000120259	1.32619e-13	0.134231	0.00570337
Cell_1864	4.79409e-17	0.00215605	0.0209216	0.000465958	0.00106721	0.0199406	0.00751183	0.00122611	0.213776	0.556743	0.176192
Cell_1865	3.55518e-29	0.000382387	0.000467158	4.23481e-05	0.000395052	0.00243236	5.44614e-07	0.000587864	9.10495e-07	0.229945	0.765746
Cell_1866	4.4569e-23	6.41553e-06	0.00126636	2.58379e-05	6.30411e-05	0.00305862	1.10378e-07	3.1911e-05	2.01041e-05	0.000938749	0.994589
Cell_1867	1.02929e-39	4.01216e-07	0.000348729	7.08461e-06	1.77886e-05	0.00113977	1.19074e-22	9.00241e-07	1.05299e-29	9.70105e-05	0.998388
Cell_1868	2.44692e-28	1.0163e-05	0.00139766	2.93463e-05	6.63144e-05	0.00576291	2.02034e-07	3.64784e-06	3.38036e-11	0.00333642	0.989393
Cell_1869	1.37112e-21	2.10076e-06	0.000383811	7.81123e-06	2.35386e-05	0.00114183	1.13396e-08	1.30336e-05	2.02572e-11	0.000671663	0.997756
Cell_1870	7.94032e-54	1.18685e-05	0.00205699	4.26897e-05	9.7597e-05	0.00223094	5.02937e-19	0.00380744	1.31322e-17	0.00112265	0.99063
Cell_1871	1.09546e-16	0.00305886	0.0134576	0.000293062	0.00239632	0.00732172	0.0721927	0.0013003	0.889813	0.0101662	2.55559e-07
Cell_1872	7.15357e-25	0.000694145	4.08882e-07	0.999303	2.15076e-08	3.61772e-08	2.67256e-12	6.23833e-07	2.93099e-16	1.909e-06	4.04309e-16
Cell_1873	5.43127e-23	3.41048e-06	0.000256256	5.22846e-06	3.35652e-05	0.00185623	3.45627e-08	0.000188218	1.1897e-19	9.96839e-05	0.997557
Cell_1874	1.4729e-36	9.12529e-07	0.000148886	3.06413e-06	6.72955e-06	0.000849928	5.49237e-10	8.01588e-07	0.9987	0.000289685	1.17722e-13
Cell_1875	3.8263e-32	3.01646e-05	0.00717028	0.000145656	0.000323219	0.0129848	2.19193e-08	1.55511e-05	5.68029e-05	0.00432452	0.974949
Cell_1876	2.90932e-44	0.00205912	0.162868	0.00340769	0.0139587	0.0449116	6.14539e-15	0.494879	0.120011	0.157906	9.92096e-15
Cell_1877	1.7831e-35	8.21571e-05	0.00288319	6.10668e-05	0.000758626	0.0114908	3.98114e-14	0.0102253	0.969835	0.00466331	2.33147e-15
Cell_1878	7.11647e-21	0.000209867	0.00813502	0.000178981	0.380444	0.00852681	1.76245e-05	0.588189	0.00138142	0.0129171	3.9675e-10
Cell_1879	0.0192192	0.0124482	1.17064e-18	2.64556e-20	2.08448e-19	4.77276e-19	0.968333	7.6347e-19	3.19605e-19	2.78504e-17	1.05683e-31
Cell_1880	1.54402e-13	1.37752e-05	0.000525064	0.990477	3.5011e-05	0.000100983	4.79939e-05	0.00109772	0.00377895	0.000808796	0.00311456
Cell_1881	6.2872e-21	0.0594943	0.00218112	4.42569e-05	9.90948e-05	0.000300422	0.937031	0.000271289	1.31324e-09	0.000578822	2.84018e-14
Cell_1882	8.28517e-27	0.000515144	0.014437	0.000293941	0.000885396	0.00165333	4.89557e-05	0.0046842	0.938503	0.0389787	2.25614e-15
Cell_1883	1.26386e-31	3.35711e-06	0.0016705	3.67533e-05	0.000184355	0.0379028	3.00729e-08	0.000132171	0.958791	0.000634432	0.00064508
Cell_1884	2.86303e-48	2.1919e-08	2.92891e-06	6.05752e-08	1.36888e-07	0.000210771	2.09716e-12	7.84015e-07	0.999784	1.53287e-06	1.02598e-18
Cell_1885	3.20787e-34	6.34617e-05	0.000989292	2.0131e-05	4.47154e-05	0.00180078	1.09185e-06	0.00010188	1.98671e-05	0.014095	0.982864
