cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_3349	0.912142	0.0257837	0.00106947	0.061	4.96228e-06
Cell_3350	4.35481e-06	0.000631786	0.00372637	0.193939	0.801698
Cell_3351	7.99802e-05	0.0478529	0.0240211	0.927904	0.000142027
Cell_3352	4.59084e-07	0.0729257	0.897623	0.0252814	0.00416981
Cell_3353	0.104122	0.263131	0.0101743	0.622524	4.83442e-05
Cell_3354	1.01844e-09	0.289017	0.0270893	0.683765	0.000128717
Cell_3355	9.59563e-09	0.81304	0.0269973	0.159836	0.000126445
Cell_3356	7.42297e-10	0.561691	0.020005	0.41821	9.323e-05
Cell_3357	0.120485	0.0572914	0.0127013	0.809462	5.9636e-05
Cell_3358	0.578259	0.0423751	0.00957176	0.369744	5.00196e-05
Cell_3359	1.69263e-05	0.0343318	0.0161579	0.949417	7.67297e-05
Cell_3360	0.925636	0.021837	0.000859419	0.0516627	4.52863e-06
Cell_3361	0.00402862	0.289569	0.0212326	0.685072	9.84121e-05
Cell_3362	0.886043	0.0334859	0.00124307	0.079222	5.79314e-06
Cell_3363	3.78056e-09	3.1928e-05	0.995323	1.82e-05	0.00462732
Cell_3364	0.979342	0.00605949	0.000261396	0.0143358	1.21489e-06
Cell_3365	7.31272e-11	0.293326	0.0126536	0.693961	5.94121e-05
Cell_3366	2.29333e-14	0.293824	0.0109852	0.695138	5.34185e-05
Cell_3367	8.92945e-19	1.94345e-10	0.995336	1.35622e-08	0.00466399
Cell_3368	3.27737e-05	0.138439	0.0128149	0.848654	5.95301e-05
Cell_3369	8.12557e-07	0.293836	0.0109079	0.695168	8.7074e-05
Cell_3370	1.05066e-05	3.04265e-05	0.0221212	0.974533	0.00330442
Cell_3371	0.137115	0.147314	0.0215082	0.693962	0.000101106
Cell_3372	0.0764938	0.0321981	0.0132446	0.878	6.31025e-05
Cell_3373	0.669351	0.0153823	0.0164894	0.2987	7.69911e-05
Cell_3374	1.51608e-05	0.138358	0.0134033	0.848155	6.80763e-05
Cell_3375	1.10504e-13	0.956663	0.000646992	0.042687	3.01344e-06
Cell_3376	2.63431e-18	0.286948	0.010613	0.70239	4.95217e-05
Cell_3377	3.16937e-06	0.00419277	0.985003	0.00610843	0.00469294
Cell_3378	1.689e-13	0.000506977	0.989574	0.00119942	0.00871924
Cell_3379	0.00190083	0.292283	0.0142586	0.691492	6.61336e-05
Cell_3380	7.24821e-05	0.0191883	0.0146772	0.965988	7.3758e-05
Cell_3381	6.19886e-12	0.754739	0.0354119	0.209655	0.000195031
Cell_3382	0.0306756	0.0467926	0.0138305	0.908637	6.45417e-05
Cell_3383	0.915795	0.0246228	0.00132231	0.0582534	6.38825e-06
Cell_3384	6.49142e-05	0.293916	0.0106091	0.695356	5.34769e-05
Cell_3385	0.000548286	0.444346	0.0440254	0.510875	0.000205813
Cell_3386	0.040107	0.254795	0.101817	0.602803	0.000478059
Cell_3387	0.002145	0.0036563	0.143543	0.84984	0.000816094
