cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9
Cell_1814	2.52189e-08	0.00162357	0.000142133	5.9011e-14	4.50668e-06	2.83776e-05	4.35136e-05	0.987823	0.0101043	0.000230786
Cell_1815	5.1057e-06	0.00479749	6.25937e-07	0.953853	0.000393185	0.000416712	0.00564582	4.07779e-05	0.0149566	0.0198906
Cell_1816	4.37429e-12	0.00274626	9.10641e-14	0.996078	3.72839e-07	3.28307e-06	5.08862e-06	3.75083e-15	0.00114616	2.06319e-05
Cell_1817	5.64283e-09	0.000441695	5.11242e-11	0.999172	3.37799e-06	4.03102e-07	2.652e-05	7.3356e-22	0.000168812	0.00018753
Cell_1818	4.40664e-11	0.000454779	4.21052e-13	0.996872	3.17344e-05	9.7364e-05	0.000520954	6.64908e-24	0.0013608	0.000662325
Cell_1819	0.976072	7.13167e-16	0.00884324	3.14073e-15	2.01319e-18	0.0150847	1.18223e-16	8.27937e-33	6.72371e-15	9.86181e-17
Cell_1820	0.000989671	0.00268374	0.000121329	7.64558e-14	1.72479e-05	1.57782e-05	0.00318023	0.990201	0.0019848	0.000805939
Cell_1821	0.124878	0.000566224	0.0153095	4.9747e-05	2.14556e-05	0.00832014	0.000473914	0.125372	0.723889	0.00111975
Cell_1822	0.00259275	0.00252978	2.36104e-05	0.988625	9.87291e-06	4.02744e-05	0.000110459	1.67929e-17	0.00552175	0.000546459
Cell_1823	1.59935e-07	0.000457293	1.00037e-08	0.997809	3.38712e-08	6.65989e-06	3.28324e-07	7.52398e-07	0.00172398	1.62427e-06
Cell_1824	4.7252e-08	0.00192356	2.69115e-05	7.13054e-07	2.30018e-05	2.34211e-05	0.000293437	0.993908	0.00257964	0.00122146
Cell_1825	4.48766e-08	0.000295687	5.81754e-10	0.9995	1.69288e-06	3.87297e-07	1.41552e-05	1.9428e-12	9.45002e-05	9.37366e-05
Cell_1826	4.72558e-09	0.00140925	2.69137e-06	4.77599e-07	2.28426e-05	2.3423e-06	0.000184584	0.996664	0.000461493	0.001252
Cell_1827	0.941252	3.23022e-06	0.0368484	1.59799e-08	8.87446e-10	0.0200257	3.78845e-08	7.13494e-09	0.00187075	2.92001e-08
Cell_1828	0.00290729	0.267086	0.000181848	0.0315271	6.6238e-05	0.0016276	0.000680685	0.0271691	0.665144	0.0036102
Cell_1829	0.00147683	0.0152851	0.000181053	0.782534	0.000265944	0.000308839	0.00609606	0.155316	0.0241325	0.0144036
Cell_1830	2.36573e-10	0.00059534	8.8826e-05	9.04017e-16	8.15448e-08	1.77346e-05	6.40542e-07	0.993099	0.00619354	4.49451e-06
Cell_1831	1.67786e-06	0.00742258	3.49297e-08	0.96336	0.000126502	0.000275412	0.00540176	2.07994e-10	0.0165448	0.00686763
Cell_1832	1.46548e-05	0.00049452	1.79662e-06	1.06003e-05	1.32502e-07	6.80237e-07	1.2098e-06	0.999302	0.000166565	7.34426e-06
Cell_1833	1.46492e-20	0.156434	3.22183e-06	1.55447e-19	0.00257916	0.00308982	0.548016	3.23304e-05	0.152005	0.13784
Cell_1834	4.80006e-16	0.510521	2.73379e-13	7.90555e-07	0.00595415	0.00027163	0.0547806	1.0315e-09	0.107265	0.321207
Cell_1835	0.0014567	0.0139827	0.000178585	0.460194	6.37151e-05	0.000304628	0.000613957	0.46422	0.0555441	0.00344156
Cell_1836	1.43937e-12	0.00101131	2.43285e-05	2.40968e-18	0.000128789	4.32222e-06	0.00174601	0.989266	0.000739557	0.00707923
Cell_1837	4.27982e-12	0.00124184	2.67698e-13	0.984806	8.81693e-05	1.38039e-06	0.00899406	9.9942e-11	0.000401614	0.0044674
Cell_1838	0.967367	0.00325566	0.00990243	3.25013e-11	4.27082e-05	0.00150932	0.000570497	6.11055e-13	0.0150398	0.00231309
Cell_1839	1.08954e-11	0.0280335	4.40002e-11	1.1567e-06	0.000120413	4.76566e-05	0.935914	3.75219e-12	0.0292183	0.0066648
Cell_1840	0.968837	1.7039e-18	0.0268002	4.50645e-26	1.03745e-19	0.00436276	2.22711e-17	2.87771e-27	3.56301e-17	5.64398e-18
Cell_1841	0.000218363	0.0041522	2.67703e-05	0.0204478	0.000373035	2.32982e-05	0.00445895	0.939093	0.0110025	0.0202037
Cell_1842	6.20868e-08	7.0247e-08	1.29252e-09	8.29015e-07	2.90184e-09	2.20477e-09	0.999999	4.70398e-12	2.40996e-07	1.59364e-07
Cell_1843	7.86736e-10	0.000671347	8.77728e-12	0.997623	5.97299e-09	5.8784e-06	4.52087e-08	6.10741e-17	0.00169964	2.04843e-07
Cell_1844	0.00969239	0.0740119	0.464814	1.18562e-06	0.000128798	0.404528	0.00107943	0.0154107	0.0249928	0.00534011
Cell_1845	1.34005e-18	0.0010216	1.54196e-06	4.24205e-15	7.60773e-05	2.63026e-06	0.00693295	0.98818	0.000341269	0.00344364
Cell_1846	4.34275e-09	9.46737e-05	4.04564e-11	0.991536	4.2959e-07	2.70948e-05	3.35597e-06	2.63023e-22	0.00831515	2.37309e-05
Cell_1847	3.85051e-09	0.495033	2.93722e-08	7.36538e-06	0.00164554	0.00151283	0.0127503	1.11248e-07	0.397952	0.0910983
Cell_1848	6.90762e-09	0.0012992	4.32064e-10	0.996168	7.50527e-06	3.40672e-06	5.03903e-05	1.48148e-07	0.00211588	0.000355045
Cell_1849	3.49382e-10	0.000710747	1.9691e-06	3.33722e-11	1.5821e-06	7.45542e-07	2.58002e-05	0.998672	0.000541287	4.62088e-05
Cell_1850	0.00113766	0.00746406	0.000139472	5.809e-15	0.000243269	1.76717e-05	0.0062959	0.974406	0.00229158	0.00800442
Cell_1851	0.988667	1.32382e-14	0.00944665	1.50746e-20	3.48483e-17	0.00188608	3.44229e-16	2.19298e-27	3.62394e-14	1.92959e-15
Cell_1852	1.60454e-06	0.00502026	4.38818e-08	0.964421	0.000360826	2.92139e-05	0.0084663	1.32802e-08	0.00169635	0.020004
Cell_1853	1.7366e-14	0.138174	5.26105e-08	1.41131e-08	0.0137844	0.000414821	0.241885	5.32309e-10	0.0342223	0.57152
Cell_1854	0.0132716	0.00173039	0.000276288	2.96047e-12	0.000140244	8.94081e-05	0.968348	6.88912e-08	0.00927436	0.00687002
Cell_1855	3.19122e-05	0.532046	0.00213196	7.59366e-05	5.01883e-05	0.00185545	0.000385867	0.00231529	0.45832	0.00278749
Cell_1856	3.95147e-08	0.0354605	1.32652e-09	0.671465	0.000789514	0.000103208	0.222642	1.18184e-15	0.0271745	0.0423654
Cell_1857	1.05914e-06	0.0244048	0.00465485	1.89252e-06	2.06513e-05	0.00794019	0.00450599	1.1579e-05	0.957317	0.00114191
Cell_1858	0.000556302	0.060715	6.82002e-05	0.762612	5.18661e-05	0.000116335	0.000396682	0.131565	0.0413326	0.00258577
Cell_1859	1.30363e-08	0.00059781	2.20991e-10	0.998796	4.31164e-08	1.74246e-06	2.84115e-06	2.37787e-11	0.000599104	2.37e-06
Cell_1860	5.50138e-15	0.0264402	1.08577e-08	2.17407e-12	0.00320712	0.00119834	0.748702	7.55535e-11	0.114927	0.105526
Cell_1861	0.987759	2.16114e-16	0.00887927	2.24184e-19	7.3913e-18	0.00336187	7.28943e-16	1.37044e-34	9.69683e-17	3.6207e-16
Cell_1862	0.000504676	0.00283202	6.18712e-05	1.7366e-10	0.000125276	1.00719e-05	0.00140401	0.98661	0.00150618	0.0069459
Cell_1863	0.849009	0.00123987	0.00902104	0.0036829	4.58435e-05	0.015388	8.85556e-05	1.7349e-14	0.121263	0.00026133
Cell_1864	0.00894069	0.0273919	0.00109609	0.182041	0.000120571	0.0018697	0.00104107	0.203206	0.568194	0.0060995
Cell_1865	7.30853e-07	0.000650014	4.5714e-08	0.698493	1.35759e-05	0.000360444	0.000665825	1.78365e-07	0.299648	0.000168734
Cell_1866	1.74101e-07	0.0025847	1.08898e-08	0.99588	4.67099e-06	7.2498e-06	4.2489e-05	8.33457e-06	0.00121413	0.000257936
Cell_1867	8.776e-23	0.000399849	1.78058e-24	0.999529	7.19201e-08	1.86706e-07	6.80787e-07	3.42747e-30	6.63705e-05	3.98864e-06
Cell_1868	1.47765e-07	0.00179555	8.00965e-09	0.995285	3.22728e-07	5.33235e-06	2.65669e-06	5.53677e-12	0.00289365	1.73176e-05
Cell_1869	1.02262e-08	0.000587194	1.73354e-10	0.998652	1.06933e-06	1.36685e-06	1.30652e-05	5.20028e-12	0.00068598	5.91988e-05
Cell_1870	5.8303e-19	0.00333935	3.64678e-20	0.973552	0.000345297	8.55022e-06	0.00287578	4.3008e-18	0.00113296	0.0187458
Cell_1871	0.172413	0.0484438	0.0211371	5.03473e-07	9.12942e-05	0.00493298	0.00371521	0.721195	0.0233485	0.0047234
Cell_1872	4.45763e-13	8.62552e-08	8.70019e-09	7.83994e-17	0.999913	8.60703e-05	8.22335e-08	4.57592e-17	2.83958e-07	4.60963e-07
Cell_1873	4.40555e-08	0.000538917	4.10414e-10	0.998566	8.77373e-06	3.23602e-06	0.000270511	3.56977e-20	0.000127605	0.000484493
Cell_1874	2.58009e-10	0.000104518	1.45413e-06	4.15977e-14	4.28551e-08	2.90324e-07	3.34362e-07	0.999755	0.000135993	2.34612e-06
Cell_1875	1.86182e-08	0.00971276	2.28251e-09	0.986488	1.67407e-06	1.79971e-05	1.31779e-05	1.65376e-05	0.00365693	9.285e-05
Cell_1876	2.93101e-15	0.0967644	0.000433206	3.74297e-15	0.0113556	0.000738958	0.207211	0.0115466	0.0604625	0.611487
Cell_1877	1.25708e-13	0.0111146	0.00036014	3.89367e-15	0.000525675	0.000195722	0.0335222	0.91438	0.0119387	0.0279633
Cell_1878	2.70088e-05	0.0153149	0.000921278	4.76597e-10	8.29621e-05	0.000215008	0.962772	0.000295646	0.0161225	0.00424848
Cell_1879	0.934085	1.47133e-18	0.0584259	8.73426e-32	1.64406e-20	0.00748911	6.44692e-19	2.73126e-20	2.74338e-17	8.19642e-19
Cell_1880	7.4768e-06	0.000109525	9.16624e-07	0.000412027	0.99858	1.56357e-06	0.0001471	3.28942e-05	0.000112168	0.000596421
Cell_1881	0.751212	0.00256774	0.214427	3.40268e-14	2.26348e-05	0.0299266	0.000180542	1.97908e-09	0.000406742	0.00125683
Cell_1882	4.78317e-05	0.0163641	0.00229385	1.94617e-15	0.000254255	0.000320142	0.0031052	0.933434	0.0301108	0.0140698
Cell_1883	1.50583e-09	0.000143121	7.22148e-08	2.06918e-05	3.54874e-07	1.23183e-07	8.32994e-06	0.999776	3.30958e-05	1.81731e-05
Cell_1884	3.08641e-12	5.80023e-06	1.50144e-07	1.15356e-18	1.12573e-07	2.09549e-08	9.19707e-07	0.999985	1.87568e-06	6.13266e-06
Cell_1885	1.11409e-06	0.00134976	6.9685e-08	0.983775	9.87834e-06	4.63921e-05	7.79491e-05	1.22787e-05	0.0141809	0.000546947
Cell_1886	0.000359714	0.025531	4.40995e-05	0.701554	0.000132766	7.52244e-05	0.0017903	0.252092	0.0111624	0.0072588
Cell_1887	0.956461	1.78371e-08	0.0374438	6.9547e-16	2.29049e-10	0.00609541	5.33994e-09	2.85902e-10	1.12244e-08	1.26171e-08
