cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_1061	1.30252e-20	1.16666e-23	1	2.26589e-22	5.85591e-23
Cell_1062	0.971014	0.00067822	6.84321e-25	0.0237954	0.00451268
Cell_1063	2.50246e-22	1.92127e-25	1	3.94156e-24	1.09537e-24
Cell_1064	3.56339e-17	1.55486e-18	1	5.93849e-19	3.60085e-18
Cell_1065	0.598238	0.000550883	8.09722e-19	0.398522	0.00268957
Cell_1066	0.892174	0.00077036	3.01439e-22	0.0168997	0.0901554
Cell_1067	9.35151e-05	0.999895	1.26574e-22	2.29165e-06	9.44983e-06
Cell_1068	1.51517e-08	1	2.14401e-25	2.38794e-10	7.33909e-11
Cell_1069	3.45009e-18	1	2.25699e-47	5.70864e-20	1.45171e-20
Cell_1070	6.13969e-08	1	8.97338e-27	1.0232e-09	6.20423e-09
Cell_1071	3.70718e-20	3.27381e-23	1	6.09622e-22	3.74616e-21
Cell_1072	0.894633	0.000596134	2.61505e-26	0.0143675	0.0904038
Cell_1073	0.337645	0.010979	0.392331	0.224925	0.0341195
Cell_1074	2.18445e-15	1	4.0398e-45	3.60783e-17	1.18948e-17
Cell_1075	0.979653	0.000683067	3.05065e-25	0.0156014	0.0040623
Cell_1076	0.432749	0.0135242	0.502837	0.00716042	0.0437298
Cell_1077	5.09924e-11	1	7.45274e-30	8.169e-13	2.29253e-13
Cell_1078	0.337911	0.0102014	0.392639	0.225102	0.0341463
Cell_1079	5.41783e-20	1	7.66641e-37	8.53862e-22	2.51788e-22
Cell_1080	0.978173	0.000892306	1.42964e-19	0.0156052	0.00532915
Cell_1081	0.369416	0.587321	8.61651e-22	0.00593272	0.03733
Cell_1082	0.258492	0.410968	0.300358	0.00406039	0.026121
Cell_1083	0.369314	0.58716	1.5905e-18	0.00620619	0.0373197
Cell_1084	0.337547	0.0112679	0.392216	0.22486	0.0341095
Cell_1085	6.23546e-15	1	1.00953e-38	9.96727e-17	6.30102e-16
Cell_1086	7.04661e-15	2.21516e-16	1	1.1222e-16	7.12069e-16
Cell_1087	0.893084	0.000883057	1.30528e-19	0.0157861	0.0902473
Cell_1088	2.15512e-09	1	5.2856e-27	3.49423e-11	1.04389e-11
Cell_1089	0.893972	0.000865022	1.30657e-19	0.0148259	0.0903371
Cell_1090	0.974418	0.000612795	2.33608e-29	0.0208688	0.00410009
Cell_1091	6.15006e-13	1.99978e-14	1	1.06988e-14	2.97893e-15
Cell_1092	0.449622	0.0137697	0.522443	0.012075	0.00208957
Cell_1093	0.349308	0.0105455	0.405882	0.232694	0.00157042
Cell_1094	1.0825e-19	1.02589e-22	1	1.75512e-21	1.09388e-20
Cell_1095	0.893288	0.00090454	1.20907e-18	0.0155398	0.0902679
Cell_1096	0.432235	0.0144288	0.50224	0.00741871	0.0436779
Cell_1097	0.431185	0.0169065	0.50102	0.00731671	0.0435718
Cell_1098	0.432828	0.0134574	0.50293	0.00704647	0.0437379
Cell_1099	5.93606e-13	1	1.38457e-33	9.42522e-15	3.23401e-15
Cell_1100	3.24749e-19	2.99579e-22	1	5.10303e-21	1.26733e-21
Cell_1101	0.598484	0.000440828	2.0221e-22	0.398685	0.00238953
Cell_1102	0.349082	0.0108536	0.405619	0.232544	0.00190182
Cell_1103	0.565652	0.000374907	7.71599e-27	0.376814	0.0571598
Cell_1104	1.52532e-11	1	1.77237e-11	2.40118e-13	8.31007e-14
Cell_1105	4.24778e-11	1	4.93575e-11	7.82866e-13	4.29243e-12
Cell_1106	1.35745e-07	1	1.5773e-07	2.23224e-09	6.57514e-10
Cell_1107	0.00149655	4.70452e-05	0.00173893	0.99671	7.63555e-06
Cell_1108	0.871874	0.0260849	2.68775e-27	0.0139367	0.0881041
Cell_1109	0.00293984	8.97834e-05	0.00341598	0.993257	0.000297075
