cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_97	1.27329e-06	1.89503e-09	0.999996	1.36541e-06	1.69958e-09	1.43889e-06
Cell_98	1.2801e-05	4.34367e-07	4.32167e-05	0.998371	0.0012427	0.000329818
Cell_99	1.43872e-08	0.00131487	0.00028355	5.32149e-09	6.6238e-12	0.998402
Cell_100	3.50145e-05	0.00131483	0.00028354	2.25917e-05	8.09242e-07	0.998343
Cell_101	0.0188961	0.000642362	0.000138917	0.492851	0.000613516	0.486858
Cell_102	0.018847	0.000639878	0.00274008	0.491569	0.000611874	0.485592
Cell_103	0.000150478	5.106e-06	0.992038	0.00392477	4.88528e-06	0.00387705
Cell_104	0.0188962	0.000641197	0.00013832	0.492852	0.000613474	0.486859
Cell_105	0.0177653	0.000603201	0.0599762	0.463356	0.000576752	0.457722
Cell_106	0.0188962	0.000641203	0.000138565	0.492852	0.00061347	0.486859
Cell_107	0.018896	0.000646076	0.000140484	0.492848	0.000614699	0.486855
Cell_108	0.0177653	0.000602813	0.0599762	0.463356	0.000576757	0.457723
Cell_109	1.22205e-08	0.00131487	0.00028355	3.18737e-07	3.96742e-10	0.998401
Cell_110	1.07251e-10	0.00116305	0.115717	4.18057e-11	1.4975e-12	0.88312
Cell_111	0.000106772	3.62301e-06	1.55543e-05	0.995883	0.0012397	0.00275099
Cell_112	0.0177653	0.000602815	0.0599762	0.463356	0.000576753	0.457723
Cell_113	0.0188468	0.000639909	0.00274	0.491565	0.000620645	0.485588
Cell_114	0.0365182	0.00123913	0.00620616	0.0151281	1.88303e-05	0.94089
Cell_115	1.11563e-05	0.00116304	0.115715	7.79836e-06	9.70687e-09	0.883103
Cell_116	0.0188962	0.000641418	0.000138527	0.492851	0.000613477	0.486859
Cell_117	5.18442e-05	1.75918e-06	7.53715e-06	0.997362	0.00124145	0.00133576
Cell_118	2.08539e-05	0.00131468	0.000283504	0.000543913	6.77031e-07	0.997836
Cell_119	1.66829e-06	5.66094e-08	5.63221e-06	0.96537	0.0345799	4.29835e-05
Cell_120	0.0177653	0.000602816	0.0599762	0.463356	0.000576754	0.457723
Cell_121	0.00010899	0.00131462	0.000284067	8.81936e-05	1.09777e-07	0.998204
Cell_122	0.0188962	0.000641198	0.000138278	0.492852	0.000613467	0.486859
Cell_123	6.48098e-07	2.19969e-08	0.999966	1.69037e-05	2.10489e-08	1.66982e-05
Cell_124	2.98942e-05	0.0013066	0.00654362	1.28943e-05	1.60499e-08	0.992107
Cell_125	4.70173e-07	4.40034e-10	4.37804e-08	0.965418	0.0345816	3.3412e-07
Cell_126	0.0174727	0.0170618	0.0589885	0.455725	0.00056726	0.450184
Cell_127	8.26076e-12	5.92169e-15	5.85773e-13	0.998755	0.0012445	4.47046e-12
Cell_128	0.018847	0.000639527	0.00274056	0.491569	0.000611887	0.485592
Cell_129	8.3692e-08	8.17238e-08	1.21674e-08	0.998754	0.00124322	2.15632e-06
Cell_130	0.018532	0.000631067	0.00269455	0.483353	0.0173139	0.477476
Cell_131	0.0185178	0.0180824	0.00270372	0.482984	0.000601466	0.477111
Cell_132	0.000175741	5.96327e-06	0.000593309	0.99346	0.00123659	0.00452797
Cell_133	0.018838	0.000639259	0.00321734	0.491334	0.000611583	0.48536
Cell_134	4.42383e-06	1.50109e-07	3.24188e-08	0.998638	0.00124303	0.00011398
Cell_135	6.08469e-08	4.20631e-11	4.18495e-09	0.998757	0.00124318	3.19384e-08
Cell_136	0.0177653	0.000602821	0.0599762	0.463356	0.000576764	0.457722
Cell_137	7.39544e-06	2.50944e-07	2.49672e-05	0.998534	0.00124293	0.000190543
Cell_138	3.60151e-06	6.98304e-08	1.03967e-08	0.998751	0.00124317	1.84251e-06
Cell_139	0.018847	0.000639519	0.00274001	0.491569	0.00061187	0.485592
Cell_140	0.0188937	0.000731111	0.000175983	0.492788	0.000614417	0.486797
Cell_141	0.0188962	0.000641388	0.000138772	0.492851	0.000613538	0.486859
Cell_142	0.0174852	0.00059331	0.0590305	0.45605	0.0163359	0.450505
Cell_143	6.17285e-08	0.00131488	0.000283612	2.6052e-08	3.24299e-11	0.998401
Cell_144	7.90689e-07	2.68494e-08	0.999958	2.06228e-05	2.56716e-08	2.03721e-05
Cell_145	0.0188961	0.00064205	0.000139365	0.49285	0.000614645	0.486858
Cell_146	0.0188961	0.000642088	0.000138501	0.492851	0.000613951	0.486858
Cell_147	5.68761e-08	4.39182e-11	2.1998e-10	0.965418	0.0345816	3.33473e-08
Cell_148	7.47187e-05	0.00130399	0.00653195	0.00194882	2.42575e-06	0.990138
Cell_149	1.07631e-07	0.00131538	0.000283816	8.70946e-08	1.08415e-10	0.998401
Cell_150	4.86402e-07	4.74964e-07	1.64211e-06	0.998742	0.00124316	1.25321e-05
Cell_151	0.0188467	0.000641544	0.00275339	0.491561	0.000613219	0.485584
Cell_152	1.16626e-05	0.00116303	0.115715	5.3188e-06	6.6205e-09	0.883105
Cell_153	0.018847	0.000639534	0.00274011	0.491569	0.000611874	0.485592
Cell_154	6.08468e-08	5.94159e-08	4.45347e-10	0.998755	0.00124323	1.56772e-06
Cell_155	2.37129e-06	0.00116349	0.115709	6.18481e-05	7.69852e-08	0.883063
Cell_156	0.00326824	0.000110938	0.910801	0.00161152	2.00593e-06	0.0842061
Cell_157	0.000423746	1.43791e-05	0.00143058	0.985986	0.00122735	0.0109178
Cell_158	2.1721e-10	1.3657e-13	1.3588e-11	0.998757	0.00124318	1.037e-10
Cell_159	0.0177653	0.000602823	0.0599762	0.463356	0.000576761	0.457722
Cell_160	0.0177653	0.000602811	0.0599762	0.463356	0.000576757	0.457723
Cell_161	1.16578e-07	0.00131496	0.000283627	5.74831e-08	7.15537e-11	0.998401
Cell_162	1.07365e-09	6.45994e-13	1.39363e-13	0.998757	0.00124319	4.90489e-10
Cell_163	0.018847	0.000639524	0.00273999	0.491569	0.000611869	0.485592
Cell_164	5.21508e-13	2.10301e-08	0.999984	1.3602e-11	1.69309e-14	1.5967e-05
Cell_165	0.0174852	0.000593308	0.0590305	0.45605	0.0163359	0.450505
Cell_166	0.017765	0.000616592	0.0599752	0.463349	0.000579684	0.457715
Cell_167	0.0177653	0.000603009	0.0599762	0.463356	0.000576763	0.457722
Cell_168	0.018847	0.000639527	0.00274109	0.491569	0.000612074	0.485592
Cell_169	0.0188961	0.000644452	0.000139116	0.492849	0.000613846	0.486857
Cell_170	8.55923e-06	2.90509e-07	1.45486e-06	0.998526	0.0012429	0.000220528
Cell_171	9.68538e-06	3.53357e-07	1.86688e-06	0.000252615	0.999486	0.000249543
Cell_172	1.46405e-12	4.96797e-14	4.94269e-12	2.38754e-07	1	3.77212e-11
Cell_173	6.40951e-07	4.31856e-10	4.29661e-08	0.998756	0.0012432	3.27905e-07
Cell_174	0.0177653	0.000602848	0.0599762	0.463356	0.000576771	0.457722
Cell_175	2.22458e-11	1.28589e-14	1.27938e-12	0.998757	0.00124318	9.76391e-12
