cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_626	0.000930884	8.34234e-06	0.999055	1.68076e-06	3.89011e-06
Cell_627	0.00325051	2.9072e-05	0.996689	1.17096e-05	1.95894e-05
Cell_628	0.540589	0.0158801	0.00366301	0.00639615	0.433471
Cell_629	0.984732	0.00881239	0.00167904	0.00178689	0.00298936
Cell_630	0.794423	0.00710879	0.00155949	0.00286327	0.194046
Cell_631	3.97775e-09	1.20922e-05	2.30952e-06	4.87047e-06	0.999981
Cell_632	0.794454	0.00711227	0.00142817	0.00286467	0.194141
Cell_633	0.540875	0.0158884	0.00313694	0.00639953	0.4337
Cell_634	0.793915	0.00713216	0.00139692	0.00287268	0.194684
Cell_635	6.50928e-14	8.10521e-06	1.56392e-06	1.63902e-06	0.999989
Cell_636	0.982159	0.00912987	0.00177712	0.00185803	0.00507639
Cell_637	0.788008	0.00732559	0.0017521	0.00295059	0.199964
Cell_638	4.71141e-16	3.05357e-09	5.81259e-10	6.16203e-10	1
Cell_639	0.000339052	9.95982e-06	0.999513	2.00411e-06	0.00013582
Cell_640	0.000139582	1.24837e-06	0.999858	5.02817e-07	9.21536e-07
Cell_641	0.879326	0.00794446	0.0015424	0.00161678	0.10957
Cell_642	0.978344	0.00875962	0.00168065	0.00352819	0.00768721
Cell_643	1.18144e-14	6.36047e-12	1.26192e-12	8.97222e-08	1
Cell_644	1.14203e-06	0.000273293	5.20223e-05	0.000110076	0.999563
Cell_645	0.984369	0.00880547	0.00178141	0.00178062	0.00326343
Cell_646	0.792713	0.00714761	0.00215462	0.00287891	0.195105
Cell_647	0.927054	0.0272326	0.00739918	0.0109687	0.0273456
Cell_648	0.478469	0.0140552	0.118155	0.00566115	0.38366
Cell_649	0.983317	0.00889505	0.00185558	0.00178986	0.00414262
Cell_650	0.881185	0.0078897	0.00161004	0.00158956	0.107726
Cell_651	2.99018e-18	1.13148e-09	2.15382e-10	2.26815e-10	1
Cell_652	0.000179116	1.60482e-06	3.10857e-07	0.0145385	0.985281
Cell_653	0.97857	0.00877332	0.00179356	0.00353371	0.00732906
Cell_654	3.28981e-07	0.034589	0.00731725	0.0139317	0.944162
Cell_655	0.000308492	2.78254e-06	0.999686	1.12075e-06	1.84864e-06
Cell_656	0.977812	0.00877114	0.0017073	0.00353283	0.00817672
Cell_657	0.540903	0.0158893	0.00308486	0.00639986	0.433723
Cell_658	5.87464e-05	0.0346043	0.00682063	0.0139379	0.944578
Cell_659	0.983766	0.00881239	0.00179833	0.00176888	0.00385402
Cell_660	3.12149e-17	1.11309e-13	2.11636e-14	4.48329e-14	1
Cell_661	7.93261e-15	1.74866e-09	3.42495e-10	3.51512e-10	1
Cell_662	0.979422	0.00875914	0.00167556	0.003528	0.00661482
Cell_663	1.73698e-15	1.78199e-09	3.69103e-10	3.59023e-10	1
Cell_664	6.76091e-18	1.05094e-11	2.0046e-12	4.23298e-12	1
Cell_665	0.750566	0.00672222	0.0565102	0.00270757	0.183494
Cell_666	5.21493e-08	2.35349e-05	4.48197e-06	9.47935e-06	0.999962
Cell_667	0.977259	0.00875589	0.00166672	0.00352669	0.00879221
Cell_668	0.984004	0.00882668	0.00170312	0.00177834	0.00368835
Cell_669	0.880271	0.00788388	0.00150577	0.00160445	0.108735
Cell_670	0.879958	0.00787872	0.0018959	0.0016034	0.108664
Cell_671	0.976306	0.00875763	0.00177173	0.00352739	0.00963733
Cell_672	0.911762	0.00816003	0.0685971	0.00328669	0.00819388
Cell_673	0.793074	0.00716126	0.00140262	0.00288441	0.195478
Cell_674	7.12177e-05	0.0667446	0.0127311	0.0133844	0.907069
Cell_675	0.540856	0.0158879	0.00317174	0.00639931	0.433685
Cell_676	1.05144e-10	0.000172388	3.40734e-05	6.94342e-05	0.999724
Cell_677	0.0061206	5.47548e-05	0.993794	1.10067e-05	1.94794e-05
Cell_678	0.917676	0.0082123	0.0690366	0.00165082	0.00342388
Cell_679	1.31285e-11	2.59521e-09	6.2071e-10	5.24798e-10	1
Cell_680	0.912976	0.00822112	0.0691107	0.00331129	0.00638104
Cell_681	0.976011	0.00895566	0.00243328	0.00360715	0.00899281
Cell_682	0.880896	0.00788822	0.0015173	0.00159514	0.108104
Cell_683	0.913574	0.00818085	0.0687721	0.00329507	0.00617809
Cell_684	1.34225e-08	0.000175112	3.33822e-05	3.51496e-05	0.999756
Cell_685	0.983176	0.00901223	0.00177177	0.00182243	0.00421802
Cell_686	0.917939	0.00821027	0.0690195	0.00165041	0.00318044
Cell_687	0.977267	0.00873974	0.0016968	0.00352018	0.00877599
Cell_688	0.979685	0.00879162	0.00192866	0.00354108	0.00605381
Cell_689	0.0360129	0.000325733	0.954639	0.000131198	0.0088914
Cell_690	0.914103	0.00819384	0.0688814	0.00330031	0.00552121
Cell_691	0.984151	0.008828	0.00198295	0.00177861	0.00325973
Cell_692	0.880671	0.00788325	0.00151635	0.00159849	0.108331
Cell_693	0.540173	0.0158678	0.00443113	0.00639122	0.433137
Cell_694	0.794181	0.00712393	0.00136682	0.00286937	0.194459
Cell_695	5.18714e-05	1.52374e-06	2.93527e-07	3.05559e-07	0.999946
Cell_696	1.50047e-10	9.16575e-09	2.01074e-09	3.69177e-09	1
Cell_697	0.000961871	8.60526e-06	0.999019	3.46602e-06	6.6792e-06
Cell_698	1.90879e-05	1.70727e-07	0.999981	6.87651e-08	1.21699e-07
Cell_699	0.979225	0.00875802	0.00202395	0.00352755	0.00646509
Cell_700	0.794276	0.00712104	0.00135443	0.0028682	0.19438
Cell_701	2.99607e-10	0.0657434	0.0141405	0.0133795	0.906737
Cell_702	0.984187	0.00880533	0.00181517	0.00177404	0.00341867
Cell_703	9.43179e-10	0.0346019	0.00694816	0.0139369	0.944513
Cell_704	0.984287	0.00880506	0.00174692	0.00176333	0.00339804
Cell_705	4.70035e-05	4.20401e-07	0.999952	1.69329e-07	3.26305e-07
Cell_706	0.694203	0.0203925	0.00390446	0.00409332	0.277407
Cell_707	4.9552e-06	4.4316e-08	0.999994	1.78495e-08	1.20968e-06
Cell_708	0.976517	0.00874217	0.00244128	0.00352116	0.00877844
Cell_709	0.000696398	6.2525e-06	0.999124	2.51837e-06	0.000170672
Cell_710	2.08279e-25	1.17162e-08	2.22766e-09	4.71906e-09	1
Cell_711	0.749713	0.00674521	0.0567035	0.00271683	0.184121
Cell_712	0.910947	0.00833294	0.0700508	0.00335633	0.00731277
Cell_713	9.5669e-08	8.56468e-10	1	3.44967e-10	6.46796e-10
Cell_714	0.794526	0.00711213	0.0013605	0.00286462	0.194137
Cell_715	1.2702e-06	1.14109e-08	0.999999	4.59606e-09	1.00139e-08
Cell_716	0.540857	0.0158879	0.00316984	0.00639932	0.433686
Cell_717	2.81377e-05	2.51825e-07	0.999965	1.0143e-07	6.87396e-06
Cell_718	0.983593	0.0088422	0.00184455	0.00179948	0.0039207
Cell_719	0.794076	0.00712792	0.00135683	0.00287098	0.194568
Cell_720	0.794402	0.00711369	0.00143915	0.00286525	0.19418
Cell_721	1.27013e-14	1.96906e-09	3.76359e-10	7.93096e-10	1
Cell_722	0.69419	0.0203922	0.00392244	0.00409324	0.277402
Cell_723	0.975268	0.00872554	0.00288957	0.00351446	0.00960202
Cell_724	0.918182	0.00821288	0.0690415	0.00164766	0.00291599
Cell_725	0.979183	0.0087573	0.00259464	0.00352726	0.0059375
Cell_726	9.29624e-07	7.22238e-05	1.38923e-05	2.90902e-05	0.999884
Cell_727	0.978377	0.00875698	0.00202371	0.00352713	0.00731542
Cell_728	0.793868	0.00713174	0.00145536	0.00287252	0.194672
Cell_729	1.23521e-05	0.0665956	0.0127634	0.0133869	0.907242
Cell_730	0.000961963	8.60329e-06	0.998791	3.46523e-06	0.000234841
Cell_731	7.99189e-07	0.0345847	0.00743869	0.01393	0.944046
Cell_732	0.794251	0.00711474	0.0015608	0.00286567	0.194208
Cell_733	3.42426e-10	1.93328e-05	4.53976e-06	7.78684e-06	0.999968
Cell_734	0.913323	0.00818834	0.0688352	0.00329809	0.0063556
Cell_735	4.28525e-05	1.25881e-06	2.39619e-07	2.51962e-07	0.999955
Cell_736	0.976303	0.00874938	0.00263746	0.00352407	0.00878568
Cell_737	0.789522	0.00728095	0.00151958	0.00293261	0.198745
Cell_738	0.983651	0.00879972	0.0018927	0.00177946	0.00387708
Cell_739	0.7508	0.00671591	0.0564572	0.00270503	0.183321
Cell_740	0.791643	0.00717717	0.00237681	0.00289081	0.195912
Cell_741	0.794536	0.00711151	0.0013679	0.00286437	0.19412
Cell_742	0.827975	0.00740511	0.0622509	0.00148856	0.100881
Cell_743	5.01983e-09	4.74746e-07	9.05022e-08	1.91218e-07	0.999999
Cell_744	0.978614	0.00876326	0.00177287	0.00352966	0.00732066
Cell_745	7.55509e-05	6.76648e-07	0.999914	1.37705e-07	9.33237e-06
Cell_746	6.07359e-07	1.78414e-08	3.43181e-09	7.18616e-09	0.999999
Cell_747	0.794171	0.00712128	0.00145323	0.0028683	0.194387
Cell_748	4.36008e-13	4.30943e-06	8.25922e-07	8.77015e-07	0.999994
Cell_749	4.98481e-09	0.0666914	0.012695	0.0133867	0.907227
Cell_750	0.000596969	5.34497e-06	0.99925	2.15284e-06	0.0001459
Cell_751	0.540857	0.0158879	0.00316984	0.00639932	0.433686
Cell_752	0.540899	0.0158891	0.00309281	0.00639981	0.43372
Cell_753	0.879515	0.00793027	0.00156572	0.00161389	0.109375
Cell_754	0.976962	0.00879842	0.00186129	0.00354382	0.00883492
Cell_755	2.86611e-05	8.41932e-07	1.61056e-07	1.69627e-07	0.99997
Cell_756	0.000144608	0.0346054	0.00670313	0.0139383	0.944609
Cell_757	7.1139e-08	2.08974e-09	0.999938	8.41703e-10	6.22477e-05
Cell_758	0.540779	0.0158856	0.00331386	0.00639839	0.433623
Cell_759	0.0508149	0.000455818	0.936103	0.000183594	0.0124423
Cell_760	0.91251	0.00816365	0.0686276	0.00328815	0.00741066
Cell_761	0.98024	0.00878668	0.00169012	0.00353909	0.00574394
Cell_762	0.00187309	5.5023e-05	1.04617e-05	2.21621e-05	0.998039
Cell_763	0.793918	0.00713219	0.00139233	0.0028727	0.194685
Cell_764	6.68571e-14	1.18462e-07	2.25709e-08	2.3837e-08	1
Cell_765	0.980333	0.0087875	0.00167204	0.00353942	0.00566837
Cell_766	2.01116e-18	1.76607e-10	3.37307e-11	6.78527e-07	0.999999
Cell_767	0.00025771	2.30487e-06	0.999737	9.28352e-07	1.74061e-06
Cell_768	3.5362e-08	3.16271e-10	1	6.33991e-11	1.31493e-10
Cell_769	0.749529	0.00675018	0.0567453	0.00271883	0.184257
Cell_770	0.984622	0.00880773	0.00186326	0.00179247	0.00291489
Cell_771	1.09726e-09	8.72769e-05	1.67453e-05	3.51533e-05	0.999861
Cell_772	0.913366	0.00820051	0.0689375	0.00330299	0.00619294
Cell_773	5.52453e-05	4.94474e-07	0.999931	1.99164e-07	1.34975e-05
Cell_774	7.53153e-14	0.0658448	0.0126195	0.0134001	0.908136
Cell_775	0.82593	0.00743824	0.0625295	0.00151376	0.102589
Cell_776	4.70042e-05	0.0664588	0.0126766	0.0133897	0.907428
Cell_777	7.07128e-08	0.000105275	2.00688e-05	4.24024e-05	0.999832
Cell_778	0.912349	0.00816007	0.0685975	0.0032867	0.00760707
Cell_779	0.791209	0.0072186	0.00162145	0.0029075	0.197043
Cell_780	0.918027	0.00821301	0.0690426	0.00166536	0.00305217
Cell_781	0.914195	0.00817804	0.0687486	0.00329394	0.00558461
Cell_782	0.794429	0.00711506	0.00137286	0.0028658	0.194217
Cell_783	0.97601	0.00898814	0.00235571	0.00362023	0.00902543
Cell_784	1.76719e-13	2.18153e-06	4.18555e-07	8.78673e-07	0.999997
Cell_785	0.979321	0.00884304	0.00174593	0.00356179	0.00652785
Cell_786	0.0112533	0.000101036	0.987246	2.03561e-05	0.00137954
Cell_787	9.22748e-16	2.25023e-08	4.28339e-09	9.06345e-09	1
Cell_788	0.879779	0.00794419	0.00180017	0.00160646	0.108871
Cell_789	0.974159	0.0087129	0.00167841	0.00350937	0.0119402
Cell_790	1.39734e-13	0.0662073	0.0130717	0.0133883	0.907333
Cell_791	0.881175	0.00789501	0.00154124	0.00159063	0.107798
Cell_792	0.791313	0.00722014	0.0014734	0.00290812	0.197085
