cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_641	0.450401	0.523349	0.00245382	0.00721544	0.0165804
Cell_642	5.30424e-18	1	5.36001e-19	8.4016e-20	4.61174e-21
Cell_643	1.47049e-10	4.96835e-32	9.6951e-07	2.40518e-12	0.999999
Cell_644	4.06065e-07	1.37197e-28	4.10334e-08	6.38334e-09	1
Cell_645	0.978276	1.58385e-24	0.00473852	0.0163033	0.000682107
Cell_646	0.430487	0.500209	0.0435012	0.0105494	0.0152541
Cell_647	4.6074e-16	1	4.65584e-17	1.0207e-17	2.422e-17
Cell_648	0.221286	0.257126	0.0223613	0.147412	0.351815
Cell_649	1.00249e-18	1	4.38806e-21	1.72063e-20	1.14831e-21
Cell_650	0.451694	0.524851	0.00203074	0.00759055	0.0138332
Cell_651	5.28878e-19	1.63842e-56	2.12678e-21	8.31396e-21	1
Cell_652	6.50639e-22	1	2.75492e-18	1.04003e-23	2.02296e-23
Cell_653	1.72756e-21	1	1.74572e-22	2.90808e-23	1.4617e-24
Cell_654	1.24825e-07	1.45042e-07	1.26137e-08	2.17148e-09	1
Cell_655	3.51938e-05	3.50461e-35	3.55638e-06	0.999961	2.57607e-08
Cell_656	3.24749e-19	1	3.28164e-20	5.21538e-21	3.14956e-22
Cell_657	0.258472	0.300334	0.0261189	0.00414072	0.410935
Cell_658	2.228e-05	3.25631e-24	2.25143e-06	3.62136e-07	0.999975
Cell_659	1.30252e-20	1	5.40114e-23	2.18884e-22	1.14456e-23
Cell_660	1.10935e-17	3.42453e-50	1.12101e-18	1.74197e-19	1
Cell_661	1.40711e-15	4.75421e-37	6.02685e-18	2.27327e-17	1
Cell_662	0.894808	8.0162e-24	0.0904216	0.0141328	0.0006373
Cell_663	3.08779e-16	4.21201e-42	1.38821e-18	5.26366e-18	1
Cell_664	2.40275e-18	7.10706e-49	2.42801e-19	3.78452e-20	1
Cell_665	0.337838	0.392554	0.034139	0.225054	0.0104152
Cell_666	1.85343e-08	1.00192e-38	1.87291e-09	2.91484e-10	1
