cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_27	1.29037e-40	2.65411e-32	2.52585e-07	6.58261e-09	4.36723e-06	2.0409e-06	0.999993	3.06163e-08	3.53761e-41	6.4661e-20	6.03676e-08
Cell_28	5.83502e-51	8.44175e-52	0.00177137	0.0115536	0.0125701	0.195013	0.00343933	0.732167	2.17961e-50	3.09022e-15	0.0434862
Cell_29	1.01094e-77	4.96332e-60	0.0281337	0.00125662	0.84587	0.0486131	0.0548369	0.00124988	5.927e-79	1.11375e-41	0.0200395
Cell_30	8.90763e-49	3.37553e-37	0.00416976	0.000108715	0.0232661	0.949781	0.00809869	0.0142541	6.88426e-48	8.83945e-09	0.000321742
Cell_31	1.94818e-38	1.32847e-27	0.0304585	0.000860152	0.828112	0.0676373	0.0594283	0.00109949	1.46788e-39	3.77441e-10	0.012404
Cell_32	3.0399e-38	3.48787e-34	0.0332473	0.000866864	0.770872	0.117908	0.0646763	0.00176961	3.65787e-39	5.52013e-13	0.0106606
Cell_33	7.1491e-29	1.74786e-28	0.0253885	0.000667424	0.881638	0.0299132	0.049647	0.000452655	2.85799e-30	1.84053e-12	0.0122931
Cell_34	2.02206e-69	6.81591e-56	0.0130856	0.000349959	0.117685	0.826515	0.027971	0.0127237	4.33345e-69	1.29815e-48	0.00166937
Cell_35	3.66684e-58	1.10596e-40	0.00636549	0.000170792	0.0437012	0.922466	0.0124277	0.0142471	1.80299e-57	1.07678e-23	0.000621924
Cell_36	0.864716	0.114249	1.37673e-13	3.59274e-15	9.95392e-12	2.24157e-14	0.014783	3.36721e-16	0.00477707	0.00147474	1.37778e-13
Cell_37	1.84213e-46	1.09986e-40	0.00477514	0.000124628	0.922084	2.87889e-05	0.0602227	4.32506e-07	3.76826e-50	2.69869e-18	0.0127646
Cell_38	7.16175e-47	5.19393e-44	1.02484e-11	0.000210321	9.18493e-08	1.37269e-18	1.99089e-11	1.62158e-11	3.25476e-55	1.58023e-17	0.99979
Cell_39	1.79098e-61	1.75674e-48	2.91379e-17	0.00470265	1.39872e-16	1.05846e-14	5.65876e-17	0.983324	2.20744e-60	8.70022e-19	0.0119736
Cell_40	1.79247e-58	6.39712e-59	0.0216929	0.000565663	0.231307	0.690749	0.0421185	0.0103681	1.93659e-58	7.99091e-21	0.00319915
Cell_41	1.79208e-43	3.13368e-39	0.00266431	6.98109e-05	0.0133908	0.963976	0.0051741	0.0145393	2.2e-42	4.78504e-09	0.000186103
Cell_42	4.81751e-69	1.49452e-61	0.00814827	0.00021249	0.0587414	0.902707	0.015828	0.0135506	1.81087e-68	1.69729e-34	0.000812502
Cell_43	5.66117e-52	6.05137e-36	0.0320086	0.00127867	0.674577	0.194823	0.0785395	0.00447994	1.16913e-52	2.67274e-31	0.0142933
Cell_44	3.29932e-65	1.89415e-52	2.12006e-06	0.0552494	2.90577e-05	3.61998e-05	4.11611e-06	0.54303	1.91146e-65	8.91375e-09	0.401649
Cell_45	6.26501e-54	1.11032e-51	0.0327197	0.000855381	0.632749	0.257473	0.0635542	0.00387456	1.67274e-54	4.53868e-24	0.00877384
Cell_46	1.17087e-22	5.67388e-09	9.57879e-09	2.53428e-10	3.4739e-08	8.5917e-06	0.998979	1.30847e-07	3.56337e-21	0.00101228	4.87492e-10
Cell_47	0.955682	0.0435664	2.51424e-14	6.72403e-16	7.95376e-12	7.05755e-17	7.63413e-05	1.08647e-18	9.10215e-05	0.000584134	1.12824e-13
Cell_48	2.20018e-87	3.18028e-61	1.05892e-08	0.00205071	3.6478e-08	8.91848e-06	2.05615e-08	0.994193	6.28736e-86	1.68123e-27	0.00374695
Cell_49	9.66348e-89	7.4419e-72	0.0353123	0.0015939	0.622534	0.250586	0.0685588	0.00651073	2.32674e-89	3.33694e-27	0.014904
Cell_50	1.79888e-55	1.51826e-48	2.11643e-14	0.0285732	1.35129e-12	4.87852e-15	4.11241e-14	0.00379125	1.40692e-57	1.44149e-23	0.967636
Cell_51	3.02344e-51	3.54865e-50	0.00258295	7.08192e-05	0.0125257	0.964401	0.00501672	0.0152206	3.83024e-50	9.29281e-22	0.000182156
Cell_52	2.64221e-31	1.01507e-13	3.50872e-11	8.06133e-06	1.93492e-10	8.58827e-09	0.91746	0.0011358	2.19435e-30	0.081373	2.35791e-05
Cell_53	1.22482e-87	5.85871e-60	0.00661508	0.000172562	0.966855	0.000134935	0.0128432	2.02616e-06	8.47708e-91	4.72667e-17	0.0133776
Cell_54	6.12067e-79	1.49166e-72	0.000791864	0.000409984	0.00274081	0.765485	0.00168356	0.228136	2.00756e-77	3.33367e-59	0.000752665
Cell_55	3.70008e-67	1.27196e-57	0.0292388	0.00076279	0.852493	0.0482164	0.056769	0.000724068	2.07028e-68	1.01373e-18	0.0117962
Cell_56	0.757609	0.0345369	8.43254e-30	2.19859e-31	1.52492e-28	6.79483e-29	0.000300165	1.01978e-30	0.207133	0.000421098	2.10883e-30
Cell_57	0.0564005	0.00267591	3.814e-33	9.94536e-35	1.70618e-32	1.87504e-30	9.43882e-05	2.81442e-32	0.940797	3.26083e-05	2.35977e-34
Cell_58	3.02116e-22	1.93031e-16	0.0262941	0.000685445	0.871606	0.0357028	0.0519552	0.000535743	1.39188e-23	0.00116878	0.0120515
Cell_59	1.21011e-41	2.89121e-30	0.0326359	0.000861161	0.757402	0.132954	0.0635273	0.00201943	1.67268e-42	3.09385e-10	0.0106004
Cell_60	1.50865e-50	1.81901e-33	0.0175252	0.000457935	0.928634	0.0063364	0.0340811	9.53069e-05	1.85077e-52	1.59248e-11	0.0128704
Cell_61	8.91738e-74	7.56866e-68	4.06745e-19	0.00472314	1.61594e-16	6.40828e-22	7.90889e-19	4.28341e-06	4.76694e-78	1.52201e-45	0.995273
Cell_62	1.02737e-29	4.46748e-30	0.0310361	0.000814954	0.789672	0.105198	0.060691	0.00159005	1.18154e-30	4.70432e-14	0.0109981
Cell_63	1.04388e-09	0.82343	6.07573e-36	1.58483e-37	1.8312e-34	9.76788e-36	0.166534	1.46664e-37	5.69424e-11	0.0100357	2.53354e-36
Cell_64	6.60115e-67	2.08674e-52	0.00420935	0.000111987	0.0238906	0.948728	0.0081937	0.014529	5.04812e-66	2.23299e-32	0.000337123
Cell_65	3.89833e-29	3.29194e-30	0.00088781	2.31719e-05	0.00289693	0.979679	0.00175425	0.0147185	1.45957e-27	1.99323e-17	4.01038e-05
Cell_66	8.18887e-32	4.19704e-23	0.0243716	0.000648393	0.293467	0.619566	0.0483177	0.00948814	7.06334e-32	6.37443e-11	0.00414114
Cell_67	3.01977e-21	1.0924e-16	0.00766782	0.000226663	0.299085	0.00859666	0.679588	0.000146278	1.14872e-22	1.42267e-13	0.00468933
Cell_68	1.42913e-31	8.7283e-23	0.0335746	0.000875351	0.653924	0.232254	0.0668431	0.00348558	3.35435e-32	3.16959e-11	0.00904287
Cell_69	1.13953e-53	2.3461e-48	0.016101	0.000423971	0.93389	0.00519079	0.0312728	7.86786e-05	1.24649e-55	3.33524e-20	0.0130432
Cell_70	1.14885e-75	1.64708e-63	0.0298357	0.00078937	0.465592	0.432722	0.0579366	0.00659011	5.6535e-76	1.0593e-31	0.00653366
Cell_71	7.7741e-57	1.56975e-29	0.00568917	0.00015215	0.964011	6.07862e-05	0.0164116	9.35767e-07	2.81832e-60	6.25603e-17	0.0136745
Cell_72	4.18573e-26	1.92071e-27	0.0118929	0.000310125	0.0968662	0.853523	0.0232564	0.0128117	1.01926e-25	2.02253e-11	0.00133977
Cell_73	5.80778e-34	2.63968e-18	9.33074e-43	2.45009e-44	1.26992e-40	1.9329e-44	1	2.92155e-46	4.08212e-37	3.21475e-20	1.76868e-42
Cell_74	2.12759e-41	5.65755e-32	0.0120711	0.000332505	0.948662	0.00148122	0.0234475	2.3486e-05	8.85813e-44	0.000122438	0.0138602
Cell_75	1.0149e-33	3.21204e-33	0.001066	2.78419e-05	0.00384166	0.978232	0.00207252	0.0147069	3.16002e-32	1.46164e-10	5.32189e-05
Cell_76	1.20951e-53	5.25953e-54	0.00212992	5.55047e-05	0.980131	8.47526e-07	0.00413523	1.27133e-08	1.63298e-58	3.42533e-08	0.0135474
Cell_77	8.43325e-42	5.59289e-39	0.00626274	0.000163334	0.0421583	0.924768	0.0121809	0.013883	4.22519e-41	2.09876e-17	0.000583179
Cell_78	5.76749e-46	2.11726e-40	0.023981	0.00062496	0.898955	0.0170473	0.0465625	0.000255729	1.3911e-47	0.000147736	0.012426
Cell_79	5.97579e-52	2.79402e-49	0.0245684	0.000647569	0.891282	0.0229873	0.0477061	0.000348767	1.89709e-53	3.55488e-16	0.0124604
Cell_80	2.73428e-25	1.49736e-12	1.4934e-22	3.90209e-24	1.31531e-20	1.54285e-23	1	2.32053e-25	9.58465e-28	1.82876e-14	1.82287e-22
Cell_81	0.933826	0.0418834	1.48197e-23	3.86857e-25	5.87543e-22	1.08075e-23	0.000671254	1.62396e-25	0.0231066	0.000512595	8.13502e-24
Cell_82	2.62883e-66	1.86844e-55	8.14037e-14	0.00260764	5.87024e-11	1.86973e-17	1.59184e-13	3.44764e-07	2.04871e-71	1.9675e-39	0.997392
Cell_83	2.44808e-65	1.45427e-56	1.4401e-31	0.00390229	6.93057e-29	8.4334e-35	2.79903e-31	1.31543e-06	4.86426e-70	7.04793e-33	0.996096
Cell_84	6.71996e-90	3.68547e-66	3.0224e-05	0.0696548	0.000565202	0.000179874	5.86856e-05	0.23862	1.35696e-90	3.90555e-11	0.690891
Cell_85	4.18188e-60	1.00072e-44	0.0309932	0.000808988	0.471159	0.423964	0.060182	0.00637006	1.94096e-60	7.84314e-12	0.00652303
Cell_86	1.33058e-34	1.37617e-32	0.00308792	8.0542e-05	0.015981	0.959419	0.00680621	0.0144047	1.40271e-33	3.86103e-26	0.000221089
Cell_87	1.02145e-18	1.10607e-15	0.00108883	2.92144e-05	0.00368071	0.977829	0.00221417	0.0151022	3.11245e-17	3.94857e-06	5.23812e-05
Cell_88	7.73281e-11	9.31032e-12	6.17986e-26	1.76131e-27	6.47636e-25	2.25557e-24	1	3.70043e-26	9.57631e-11	1.13529e-13	9.79027e-27
Cell_89	2.8855e-59	5.94078e-54	0.00302905	7.89914e-05	0.015195	0.961171	0.00588788	0.0144282	3.10669e-58	4.1496e-19	0.000210174
Cell_90	1.31427e-18	0.965087	3.64139e-28	9.50039e-30	1.03207e-26	6.72866e-28	0.0230948	1.01051e-29	8.24001e-20	0.0118184	1.4282e-28
Cell_91	1.08097e-58	2.40178e-54	0.0283497	0.000749133	0.846073	0.0569442	0.0551592	0.000866164	7.3671e-60	1.57641e-33	0.0118584
Cell_92	1.24659e-36	1.40066e-36	0.0250993	0.000654396	0.300239	0.610853	0.0487373	0.00916758	1.0294e-36	0.00109777	0.00415196
Cell_93	0.0971908	0.00453487	6.42015e-24	1.74605e-25	3.54543e-23	1.74815e-21	0.0002908	2.73672e-23	0.897928	5.55005e-05	5.11433e-25
Cell_94	3.93463e-37	1.6854e-19	0.00235596	6.16328e-05	0.0107829	0.967411	0.00467079	0.0145678	5.48188e-36	2.55977e-07	0.000149619
Cell_95	4.64648e-67	7.21393e-47	0.018073	0.000471783	0.17462	0.757939	0.0350898	0.011389	6.61168e-67	8.25816e-08	0.00241776
Cell_96	1.56618e-51	7.51884e-40	0.0114342	0.00029927	0.951876	0.000957925	0.0222025	1.44321e-05	4.45197e-54	9.56636e-07	0.0132143
Cell_97	2.65629e-06	1.19298e-07	1.49339e-22	4.20019e-24	1.66114e-20	5.23212e-24	0.999997	8.47057e-26	3.15764e-09	1.45701e-09	2.47804e-22
Cell_98	1.90926e-72	1.24048e-56	0.00203161	5.29485e-05	0.980417	8.4546e-07	0.00394476	1.26837e-08	2.69588e-77	4.10643e-22	0.0135529
Cell_99	1.36262e-49	5.38792e-29	0.0290654	0.000757788	0.402387	0.496902	0.0578658	0.00745731	7.9041e-50	1.95657e-17	0.00556446
Cell_100	4.60413e-86	5.59246e-68	0.00136354	0.0125443	0.00994291	0.146924	0.00264737	0.77806	1.68328e-85	7.49579e-28	0.0485177
Cell_101	9.57454e-65	6.7157e-60	0.0144669	0.000388134	0.941024	0.00260244	0.0280872	4.01909e-05	5.84397e-67	2.03264e-13	0.0133911
Cell_102	4.86131e-11	0.584477	1.14155e-21	2.97994e-23	3.72337e-21	1.341e-18	0.408377	2.01503e-20	1.93763e-09	0.00714597	5.15531e-23
Cell_103	0.0955663	0.0042869	8.78964e-49	2.29072e-50	4.57486e-48	2.43963e-46	9.68011e-05	3.65986e-48	0.899998	5.22075e-05	6.3239e-50
Cell_104	5.80585e-61	6.44609e-46	0.0104777	0.00027434	0.954906	0.00059991	0.0204714	9.04165e-06	1.12789e-63	2.09355e-29	0.0132614
Cell_105	2.44286e-45	3.18543e-45	7.55913e-05	0.0306078	0.00072542	0.00347168	0.000152343	0.809171	3.80672e-45	5.63503e-35	0.155796
Cell_106	4.79984e-14	2.44606e-15	0.00109399	2.88351e-05	0.00381902	0.977114	0.002178	0.014825	1.4546e-12	0.000888261	5.3391e-05
Cell_107	2.89809e-38	1.26023e-38	0.00462223	0.000501125	0.932225	3.93417e-05	0.0090026	2.45521e-06	8.36945e-42	2.03649e-19	0.0536072
Cell_108	1.51443e-36	2.91983e-27	1.47698e-15	3.84982e-17	1.99297e-14	2.27124e-14	1	3.40775e-16	7.90167e-37	3.48933e-20	2.75533e-16
Cell_109	2.389e-42	3.29597e-30	2.36654e-08	0.0140851	1.61557e-07	2.72888e-06	4.60451e-08	0.934911	9.34692e-42	2.16331e-09	0.0510009
Cell_110	5.31556e-18	1.198e-16	0.00873373	0.000228939	0.0671589	0.890834	0.0186687	0.0134418	1.83962e-17	2.2817e-09	0.000933751
Cell_111	1.78731e-27	0.00245033	2.05658e-29	5.36129e-31	2.07366e-27	9.15111e-31	0.99752	1.37321e-32	2.69843e-30	2.98582e-05	2.86727e-29
Cell_112	0.000220802	3.19444e-05	0.00829509	0.000218065	0.0606576	0.882749	0.0318831	0.013358	0.000797265	0.000943446	0.000845779
Cell_113	1.42597e-40	1.40822e-26	0.0267611	0.000698899	0.338479	0.568507	0.0520352	0.00854645	1.02784e-40	0.000283183	0.00468866
Cell_114	4.23271e-24	1.12553e-14	0.0229319	0.0118729	0.679027	0.0408504	0.0466328	0.0121745	2.55833e-25	4.01805e-05	0.186471
Cell_115	2.75067e-35	1.4326e-34	0.0314944	0.000822295	0.570127	0.323413	0.0613875	0.00486061	9.58396e-36	3.2147e-16	0.00789537
Cell_116	1.1504e-63	3.30686e-59	0.0346167	0.000902476	0.623462	0.261268	0.0672084	0.0039208	2.94599e-64	4.86806e-15	0.00862118
Cell_117	9.45271e-44	3.82492e-44	0.0261117	0.000680512	0.870517	0.0393605	0.0507065	0.000590475	4.83466e-45	5.13488e-13	0.0120333
Cell_118	1.74324e-31	6.97376e-26	0.0263326	0.000690581	0.355767	0.551899	0.0520312	0.00833144	1.23967e-31	4.22254e-13	0.00494873
Cell_119	9.5731e-73	7.86476e-63	0.0352332	0.00164059	0.623674	0.248968	0.0684073	0.00667317	2.29524e-73	9.00319e-24	0.0154033
Cell_120	5.68669e-47	1.37959e-32	0.0250883	0.000654079	0.304516	0.595042	0.0615592	0.00892988	4.57634e-47	6.09329e-28	0.0042109
Cell_121	6.79851e-47	3.90496e-42	0.0251273	0.000656898	0.881312	0.0299498	0.0487865	0.000450697	2.74944e-48	0.00149586	0.0122205
Cell_122	1.02973e-35	4.87945e-25	0.00106342	2.85327e-05	0.00369523	0.977671	0.00206907	0.0150997	3.21212e-34	0.000320263	5.25878e-05
Cell_123	0.408679	0.0185138	1.35595e-27	3.54146e-29	1.35181e-26	5.59713e-26	0.000189436	8.41482e-28	0.572385	0.000233319	1.87268e-28
Cell_124	1.26648e-60	5.50727e-61	3.11227e-11	0.00734723	1.80123e-10	7.13889e-09	6.05546e-11	0.970099	9.85679e-60	3.6147e-40	0.0225539
Cell_125	1.14539e-54	2.91823e-49	0.0302834	0.000789708	0.825005	0.0726235	0.0587969	0.00109013	9.31985e-56	9.73986e-10	0.011411
Cell_126	1.05896e-46	1.53276e-40	0.0126427	0.000329747	0.947547	0.00175244	0.0245939	2.63102e-05	4.98042e-49	2.42584e-19	0.0131084
Cell_127	1.09323e-61	1.16758e-56	0.0353215	0.000920468	0.689045	0.193707	0.0685765	0.00290573	2.03423e-62	1.18706e-11	0.0095241
Cell_128	3.11732e-25	2.63242e-26	0.000525222	1.49692e-05	0.983528	9.65449e-09	0.00102172	1.58389e-10	1.94425e-31	4.16624e-05	0.0148679
Cell_129	1.57e-34	9.01338e-22	0.0323973	0.000911179	0.766626	0.122152	0.0644993	0.00197758	2.00851e-35	3.27311e-10	0.0114363
Cell_130	3.56425e-35	5.15655e-36	2.23572e-09	7.28416e-11	1.62979e-08	2.48835e-07	1	4.66672e-09	1.346e-34	7.1293e-38	2.81643e-10
Cell_131	1.61891e-31	3.40292e-27	2.7342e-05	7.13433e-07	0.000436991	0.000297983	0.999226	4.47562e-06	5.98643e-32	2.6327e-15	6.04786e-06
Cell_132	2.66107e-14	0.601094	5.32637e-07	1.39219e-08	4.24359e-06	3.79709e-05	0.388699	5.71294e-07	6.43664e-14	0.0101635	5.88314e-08
Cell_133	1.80188e-65	1.32413e-56	1.76327e-08	0.0209684	1.55091e-06	1.17684e-09	3.42438e-08	0.000805571	4.08046e-68	6.55776e-27	0.978224
Cell_134	2.7348e-62	2.97678e-50	0.00492557	0.000128889	0.0299056	0.94065	0.00980624	0.0141686	1.77207e-61	1.08099e-38	0.000415067
Cell_135	1.04973e-22	3.59904e-15	0.0187176	0.000494516	0.341049	0.151269	0.468383	0.00230049	2.87846e-23	0.0130069	0.00477918
Cell_136	1.42094e-61	1.29291e-59	0.0158332	0.000412857	0.151071	0.788023	0.030742	0.0118279	2.39954e-61	7.09931e-23	0.00208939
Cell_137	9.35216e-05	0.865102	9.214e-18	3.00199e-19	1.36724e-16	1.36745e-16	0.124088	2.56455e-18	4.70931e-05	0.0106702	2.36272e-18
Cell_138	1.84397e-78	4.69069e-69	0.0102202	0.000266336	0.955944	0.000506646	0.0198421	7.60005e-06	3.10159e-81	4.89857e-17	0.0132133
Cell_139	0.220686	0.00989814	2.61933e-50	6.83958e-52	1.91201e-49	2.69106e-48	3.94981e-06	4.04484e-50	0.769291	0.000120543	2.64811e-51
Cell_140	5.24855e-20	1.19989e-15	0.00489905	0.000129002	0.0297276	0.940332	0.0102444	0.0142529	3.41816e-19	1.41591e-07	0.000415194
Cell_141	1.04205e-69	7.69245e-56	0.0146203	0.000381302	0.939438	0.0040934	0.0284103	6.1452e-05	9.89917e-72	3.53418e-31	0.0129953
Cell_142	7.2801e-36	3.9276e-24	0.0151849	0.00039598	0.13606	0.804667	0.0295661	0.0120786	1.30896e-35	0.000164968	0.00188191
Cell_143	0.0342466	0.00425131	3.26334e-20	8.51799e-22	1.21649e-19	2.70006e-17	3.15008e-05	4.05684e-19	0.961418	5.26915e-05	1.68419e-21
Cell_144	7.13645e-39	2.65291e-34	0.00443898	0.000797845	0.900258	2.93787e-05	0.00864876	3.03953e-06	1.60256e-42	1.61516e-15	0.085824
Cell_145	4.39034e-68	1.92515e-42	8.94842e-10	0.0604923	1.36361e-08	1.1579e-08	1.73857e-09	0.450573	1.92756e-68	7.54888e-17	0.488934
Cell_146	5.50653e-75	2.31933e-68	0.032507	0.000848869	0.480117	0.41059	0.0631155	0.00617179	2.35989e-75	6.23266e-31	0.00664994
Cell_147	4.76268e-25	7.25767e-18	2.64219e-06	6.90004e-08	2.27734e-05	0.000176485	0.999793	2.65299e-06	1.07939e-24	2.538e-06	3.15445e-07
Cell_148	3.15492e-56	1.60084e-55	0.00153534	4.00196e-05	0.981867	3.09023e-07	0.00298223	4.63659e-09	2.15456e-61	7.94821e-21	0.0135746
Cell_149	5.67488e-38	8.8181e-32	0.00569074	0.000148479	0.969617	4.95436e-05	0.0110746	7.44088e-07	1.67633e-41	2.35848e-11	0.0134185
Cell_150	9.78288e-27	4.07758e-21	0.0080658	0.000239871	0.331668	0.00725035	0.64742	0.000124116	2.98374e-28	9.26166e-13	0.00523168
Cell_151	3.63e-26	3.20404e-23	0.00183875	4.79413e-05	0.00767757	0.971898	0.00384501	0.0145864	6.51009e-25	3.78087e-15	0.000106174
Cell_152	8.77865e-18	6.82037e-13	0.0136996	0.000358584	0.185346	0.275389	0.514421	0.00414926	5.98757e-18	0.00406409	0.0025732
Cell_153	2.89521e-46	8.8829e-44	0.0188694	0.000492075	0.195284	0.734969	0.0366517	0.0110327	3.82626e-46	3.63109e-16	0.00270114
Cell_154	1.76088e-45	4.31795e-38	0.00011308	3.19339e-06	0.984906	3.69203e-11	0.00022513	6.00165e-13	1.95071e-53	1.56802e-26	0.0147526
Cell_155	3.9289e-55	3.79107e-26	7.16488e-25	2.33437e-26	4.09876e-24	1.62763e-22	1	3.0525e-24	3.02831e-54	4.62445e-28	7.08306e-26
Cell_156	3.49932e-30	1.34229e-26	3.34636e-06	0.00229705	1.30271e-05	0.00250662	6.53811e-06	0.99043	8.89369e-29	4.35947e-10	0.00474298
Cell_157	4.04519e-82	1.52198e-66	6.3488e-08	0.054767	1.97738e-06	8.15442e-08	1.31903e-07	0.0404911	1.76289e-83	4.98021e-48	0.90474
Cell_158	3.36526e-50	1.20179e-44	0.000212026	0.0644614	0.00496876	0.000731248	0.000411685	0.127972	3.938e-51	1.50505e-09	0.801243
Cell_159	5.25489e-25	7.30696e-15	0.0330474	0.000879207	0.671176	0.214906	0.0672028	0.00329111	1.15947e-25	2.60852e-05	0.00947103
Cell_160	0.756595	0.0346664	2.45443e-30	6.83567e-32	4.60438e-29	1.98782e-29	0.00040633	3.18675e-31	0.207909	0.000422607	6.80156e-31
Cell_161	7.57883e-76	1.95852e-57	2.1949e-18	0.00152143	7.02317e-18	2.49596e-15	4.26489e-18	0.995896	2.92421e-74	1.8595e-32	0.00258212
Cell_162	3.61554e-40	2.11149e-37	5.21654e-16	0.0594087	8.44624e-15	6.56537e-15	1.10907e-15	0.430394	1.54395e-40	4.71892e-24	0.510197
Cell_163	0.952713	0.0432738	1.56017e-16	4.0937e-18	1.96824e-14	6.85117e-18	0.00205047	1.03478e-19	0.00141951	0.000543299	2.73922e-16
Cell_164	2.13513e-58	6.50871e-54	0.0212601	0.000555204	0.910938	0.0131069	0.0413254	0.000197028	4.46625e-60	1.45326e-30	0.0126178
Cell_165	2.72452e-23	2.96559e-11	1.37844e-25	4.72863e-27	2.00128e-24	2.07569e-24	1	4.09874e-26	1.39203e-23	3.6166e-13	3.64136e-26
Cell_166	9.33508e-37	4.3166e-16	0.00494674	0.00012968	0.0288071	0.941053	0.00980711	0.0142006	6.02554e-36	0.000655601	0.000400552
Cell_167	1.05251e-32	7.55235e-24	0.00493123	0.000128616	0.970616	2.74514e-05	0.0108691	4.12141e-07	1.98801e-36	2.11891e-17	0.0134275
Cell_168	8.2827e-19	3.74264e-11	0.00586471	0.000302873	0.954526	0.000125214	0.0129267	3.72226e-06	6.00015e-22	0.000105004	0.0261462
Cell_169	4.83789e-83	1.00564e-77	0.00861254	0.000224501	0.0604034	0.899694	0.016731	0.0134996	1.71476e-82	3.0596e-51	0.000835131
