cell	Node 0	Node 1	Node 2
Cell_149	4.04916e-37	0.646299	0.353701
Cell_150	9.49752e-27	0.124873	0.875127
Cell_151	8.7586e-25	0.641289	0.358711
Cell_152	8.83303e-18	0.221795	0.778205
Cell_153	6.91335e-46	0.646421	0.353579
Cell_154	6.48745e-43	0.645799	0.354201
Cell_155	4.48966e-55	1.30405e-23	1
Cell_156	4.56292e-29	0.999629	0.000371317
Cell_157	2.24456e-82	1	3.0133e-07
Cell_158	1.81134e-50	0.999163	0.000836642
Cell_159	6.1222e-25	0.643527	0.356473
Cell_160	0.999511	5.32578e-29	0.000489175
Cell_161	1.58697e-74	1	3.70928e-16
Cell_162	2.02469e-40	1	2.30544e-15
Cell_163	0.997894	2.83724e-15	0.00210576
Cell_164	4.35844e-58	0.646389	0.353611
Cell_165	3.44893e-23	2.51831e-24	1
Cell_166	8.96321e-36	0.645095	0.354905
Cell_167	9.27013e-32	0.637449	0.362551
Cell_168	5.19603e-18	0.649707	0.350293
Cell_169	2.4158e-82	0.646406	0.353594
Cell_170	1.14729e-36	0.998921	0.0010795
Cell_171	7.26775e-43	1	7.67077e-09
Cell_172	3.14847e-57	1	1.93968e-25
Cell_173	1.75269e-52	0.64614	0.35386
Cell_174	1.46244e-33	0.646033	0.353967
Cell_175	7.46506e-90	0.646443	0.353557
Cell_176	2.59158e-50	0.646446	0.353554
Cell_177	1.49964e-41	0.64258	0.35742
Cell_178	1.26625e-55	0.6464	0.3536
Cell_179	4.77014e-51	0.645462	0.354538
Cell_180	2.56632e-73	0.646451	0.353549
Cell_181	3.34334e-68	1	1.98877e-23
Cell_182	4.84837e-61	0.646421	0.353579
Cell_183	1.53625e-57	0.646441	0.353559
Cell_184	5.46733e-56	0.64779	0.35221
Cell_185	4.89217e-29	0.629189	0.370811
Cell_186	4.02965e-47	0.646369	0.353631
Cell_187	1.83547e-42	0.647081	0.352919
Cell_188	0.991313	6.3055e-30	0.00868725
Cell_189	2.19502e-52	0.64646	0.35354
Cell_190	1.8776e-38	0.000586071	0.999414
Cell_191	3.90029e-17	1.43642e-27	1
Cell_192	4.85737e-70	0.646436	0.353564
Cell_193	1.92277e-49	0.646332	0.353668
Cell_194	2.19507e-05	1.4723e-29	0.999978
Cell_195	1.56031e-28	0.646226	0.353774
Cell_196	4.07558e-41	0.645047	0.354953
Cell_197	1.69286e-24	0.634149	0.365851
Cell_198	2.18798e-41	0.648433	0.351567
Cell_199	0.999841	1.06812e-40	0.000158864
Cell_200	7.6505e-11	6.34764e-34	1
Cell_201	7.25428e-56	0.646468	0.353532
Cell_202	3.16847e-59	0.646439	0.353561
Cell_203	1.37902e-22	0.638187	0.361813
Cell_204	6.3741e-36	0.000629018	0.999371
Cell_205	1.07169e-62	2.3625e-07	1
Cell_206	4.3432e-15	2.05207e-38	1
Cell_207	7.40423e-54	0.646495	0.353505
Cell_208	5.82192e-40	0.645264	0.354736
Cell_209	2.82669e-52	1	1.09568e-13
Cell_210	1.58387e-24	0.589171	0.410829
Cell_211	2.0524e-59	0.646184	0.353816
Cell_212	2.70874e-60	0.646344	0.353656
Cell_213	1.26942e-55	0.641324	0.358676
Cell_214	1.42878e-34	0.646388	0.353612
Cell_215	2.84156e-76	1	5.97536e-21
Cell_216	1.74904e-28	0.647802	0.352198
Cell_217	3.55045e-44	0.646565	0.353435
Cell_218	6.85054e-38	0.0535133	0.946487
Cell_219	4.57187e-10	2.21655e-35	1
Cell_220	5.92171e-70	0.64644	0.35356
Cell_221	1.10746e-80	1	1.10638e-30
Cell_222	8.08753e-89	0.646435	0.353565
Cell_223	2.93548e-27	0.647618	0.352382
Cell_224	0.998074	2.13782e-27	0.00192571
Cell_225	0.999095	1.29466e-48	0.000904993
Cell_226	9.25683e-16	6.04663e-14	1
Cell_227	5.25733e-34	0.646306	0.353694
Cell_228	1.75522e-38	0.999725	0.000275169
Cell_229	8.74282e-90	0.646439	0.353561
Cell_230	6.18522e-37	0.646477	0.353523
Cell_231	2.07349e-38	0.746085	0.253915
Cell_232	6.4341e-17	0.645256	0.354744
Cell_233	7.45497e-49	0.646262	0.353738
Cell_234	3.28848e-49	0.645801	0.354199
Cell_235	7.65517e-17	0.454168	0.545832
Cell_236	2.10282e-40	0.64637	0.35363
Cell_237	2.87661e-53	0.646459	0.353541
Cell_238	2.00128e-17	1.3966e-36	1
Cell_239	1.28074e-68	0.646869	0.353131
Cell_240	4.43425e-40	0.646014	0.353986
Cell_241	1.4202e-22	0.871772	0.128228
Cell_242	4.3935e-06	2.31277e-06	0.999993
Cell_243	0.999624	9.45358e-53	0.000375655
Cell_244	9.85825e-54	0.646439	0.353561
Cell_245	6.75237e-88	0.662032	0.337968
Cell_246	5.04596e-17	0.645927	0.354073
Cell_247	1.35452e-27	0.674467	0.325533
Cell_248	0.990214	2.29378e-06	0.00978338
Cell_249	4.29463e-76	0.646395	0.353605
Cell_250	2.11506e-35	0.642427	0.357573
Cell_251	0.999396	6.70278e-28	0.000604054
Cell_252	5.835e-05	1.27707e-21	0.999942
Cell_253	4.23366e-57	0.64609	0.35391
Cell_254	3.26868e-59	0.999999	8.65081e-07
Cell_255	3.4349e-54	0.646446	0.353554
Cell_256	8.33928e-92	1	5.40982e-22
Cell_257	4.5681e-23	0.646134	0.353866
Cell_258	4.02434e-18	0.644125	0.355875
Cell_259	1.49289e-43	0.646455	0.353545
Cell_260	4.93058e-25	0.646022	0.353978
Cell_261	1.92738e-50	0.646505	0.353495
Cell_262	7.40666e-44	0.646465	0.353535
Cell_263	6.34041e-55	0.646405	0.353595
Cell_264	1.7163e-54	0.646414	0.353586
Cell_265	2.16441e-72	0.64665	0.35335
Cell_266	1.62176e-17	2.51598e-13	1
Cell_267	5.91378e-31	0.646438	0.353562
Cell_268	1.10008e-55	0.999998	1.66368e-06
Cell_269	6.20219e-15	0.63986	0.36014
Cell_270	6.76927e-40	0.646375	0.353625
Cell_271	5.50548e-26	5.28712e-20	1
Cell_272	1.17215e-47	0.646434	0.353566
Cell_273	6.85663e-100	0.646462	0.353538
Cell_274	5.33611e-48	0.646287	0.353713
Cell_275	2.10487e-26	0.99998	1.98068e-05
Cell_276	1.55498e-14	2.55077e-10	1
Cell_277	1.48542e-53	1	1.9118e-10
Cell_278	2.24673e-39	0.746625	0.253375
Cell_279	2.61559e-101	0.646458	0.353542
Cell_280	3.54625e-44	0.643887	0.356113
Cell_281	3.78383e-28	1.45017e-11	1
Cell_282	5.88068e-22	5.31668e-06	0.999995
Cell_283	7.43792e-40	0.646441	0.353559
Cell_284	1.08882e-79	1	5.12312e-32
Cell_285	2.49953e-14	0.63414	0.36586
Cell_286	7.7728e-91	0.646452	0.353548
Cell_287	4.8053e-50	0.645132	0.354868
Cell_288	1.39544e-66	0.646095	0.353905
Cell_289	3.92173e-33	0.646351	0.353649
Cell_290	7.33333e-44	0.464643	0.535357
Cell_291	3.61974e-66	0.646982	0.353018
Cell_292	1.52856e-27	0.641773	0.358227
Cell_293	8.05457e-16	0.635151	0.364849
Cell_294	4.5117e-40	0.646472	0.353528
Cell_295	1.33144e-59	0.64642	0.35358
Cell_296	2.16883e-18	6.25835e-12	1
Cell_297	5.86939e-92	1	3.46126e-13
Cell_298	0.998539	1.62123e-27	0.00146128
Cell_299	5.83155e-28	0.646323	0.353677
Cell_300	1.22691e-28	0.646513	0.353487
Cell_301	1.25312e-23	0.12248	0.87752
Cell_302	4.12224e-62	0.646307	0.353693
Cell_303	6.72705e-27	0.648566	0.351434
Cell_304	1.7698e-48	0.646425	0.353575
Cell_305	9.06743e-35	0.644373	0.355627
Cell_306	1.57165e-05	2.27535e-31	0.999984
Cell_307	1.8122e-08	9.59312e-19	1
Cell_308	2.86777e-28	0.646482	0.353518
Cell_309	6.46463e-40	0.648891	0.351109
Cell_310	1.04457e-64	0.646508	0.353492
Cell_311	0.953844	1.61599e-20	0.0461563
Cell_312	1.38795e-33	1	5.88634e-09
Cell_313	2.85106e-42	0.999994	6.00514e-06
Cell_314	8.46141e-50	0.646443	0.353557
Cell_315	0.999701	1.43171e-51	0.000298693
Cell_316	3.38511e-20	1	8.64158e-09
Cell_317	1.98531e-55	0.0333092	0.966691
Cell_318	2.91484e-49	0.646068	0.353932
Cell_319	3.51251e-37	0.646344	0.353656
Cell_320	6.17048e-64	0.646429	0.353571
Cell_321	1.90009e-30	0.646047	0.353953
Cell_322	5.05117e-39	0.646458	0.353542
Cell_323	5.42066e-66	0.646458	0.353542
Cell_324	5.58934e-58	0.74843	0.25157
Cell_325	0.999642	8.78112e-30	0.000358183
Cell_326	5.61629e-39	0.64637	0.35363
Cell_327	3.69707e-61	0.645793	0.354207
Cell_328	6.24087e-71	0.64745	0.35255
Cell_329	1.92594e-06	1.84542e-14	0.999998
Cell_330	0.980161	7.49589e-18	0.0198389
Cell_331	2.61121e-40	0.646217	0.353783
Cell_332	2.59829e-38	0.998448	0.00155155
Cell_333	2.77796e-40	0.639794	0.360206
Cell_334	2.60909e-80	0.646443	0.353557
Cell_335	1.4701e-20	0.733849	0.266151
Cell_336	1.94203e-52	0.646381	0.353619
Cell_337	1.88707e-13	0.630816	0.369184
Cell_338	9.29859e-45	0.646758	0.353242
Cell_339	2.55121e-31	0.645463	0.354537
Cell_340	2.63702e-33	0.646419	0.353581
Cell_341	1.54692e-46	0.645721	0.354279
Cell_342	3.40245e-40	0.646259	0.353741
Cell_343	2.44654e-44	0.646444	0.353556
Cell_344	3.76311e-71	1	1.13336e-07
Cell_345	6.01291e-33	0.991766	0.00823395
Cell_346	1.61617e-56	0.6464	0.3536
Cell_347	7.17609e-59	5.74356e-08	1
Cell_348	7.7911e-66	0.646445	0.353555
Cell_349	1.31837e-32	0.00194272	0.998057
Cell_350	1.10218e-20	1.61404e-11	1
Cell_351	6.0902e-20	3.73655e-20	1
Cell_352	6.41961e-78	0.646425	0.353575
Cell_353	3.43068e-39	0.646435	0.353565
Cell_354	1.42329e-37	0.646478	0.353522
Cell_355	0.00289461	1.85001e-20	0.997105
Cell_356	4.3464e-42	0.646342	0.353658
Cell_357	5.41741e-25	0.647351	0.352649
Cell_358	7.24296e-50	1	4.81823e-26
Cell_359	1.73194e-37	0.64663	0.35337
Cell_360	3.42878e-49	0.645947	0.354053
Cell_361	1.18101e-62	0.646506	0.353494
Cell_362	0.999182	4.0478e-36	0.000817817
Cell_363	1.35206e-29	0.643438	0.356562
Cell_364	4.37997e-44	0.646179	0.353821
Cell_365	3.45505e-21	0.634344	0.365656
Cell_366	2.21151e-31	0.646285	0.353715
Cell_367	2.54359e-80	0.645449	0.354551
Cell_368	3.95702e-31	0.0149946	0.985005
Cell_369	2.01012e-54	0.646371	0.353629
Cell_370	1.3627e-55	0.646471	0.353529
Cell_371	7.97483e-09	0.667024	0.332976
Cell_372	4.16783e-20	1.64694e-06	0.999998
Cell_373	2.06838e-39	0.999997	2.54125e-06
Cell_374	3.13756e-79	0.646444	0.353556
Cell_375	8.28103e-78	0.646447	0.353553
Cell_376	2.23176e-48	0.645581	0.354419
Cell_377	1.67919e-25	1.84778e-20	1
Cell_378	1.91608e-35	0.645465	0.354535
Cell_379	1.22135e-35	0.646204	0.353796
Cell_380	1.72372e-56	0.646817	0.353183
Cell_381	8.78297e-86	0.646442	0.353558
Cell_382	2.96521e-62	1	2.44617e-16
Cell_383	6.91206e-62	0.64643	0.35357
Cell_384	1.1911e-41	0.645025	0.354975
Cell_385	9.36107e-19	3.84673e-34	1
Cell_386	7.42042e-63	0.990475	0.00952522
Cell_387	0.32901	0.304731	0.366259
Cell_388	6.00872e-18	0.645884	0.354116
Cell_389	5.97221e-55	0.646984	0.353016
Cell_390	2.26766e-56	1	7.85276e-13
Cell_391	1.41169e-44	1	8.57474e-11
Cell_392	0.99371	6.70711e-20	0.00628981
Cell_393	3.04606e-09	0.454952	0.545048
Cell_394	7.86766e-91	1	6.78313e-33
Cell_395	1.80643e-28	0.629153	0.370847
Cell_396	0.99854	2.50455e-25	0.00146013
Cell_397	1.11137e-60	0.645444	0.354556
Cell_398	1.75001e-42	0.646355	0.353645
Cell_399	0.99958	1.12425e-24	0.000419569
Cell_400	3.57357e-48	0.646423	0.353577
Cell_401	5.55741e-09	5.66257e-09	1
Cell_402	1.63094e-21	0.643527	0.356473
Cell_403	4.98976e-58	0.646464	0.353536
Cell_404	1.96654e-42	0.646414	0.353586
Cell_405	3.51886e-21	0.64607	0.35393
Cell_406	5.68635e-37	0.99998	1.97333e-05
Cell_407	1.56765e-16	2.87736e-27	1
Cell_408	1.53138e-21	0.608403	0.391597
Cell_409	3.62051e-70	0.626401	0.373599
Cell_410	3.29584e-40	0.646465	0.353535
Cell_411	5.46171e-48	0.643286	0.356714
Cell_412	1.32197e-54	0.999997	2.56017e-06
Cell_413	3.93811e-28	0.646444	0.353556
Cell_414	1.5031e-25	1.06632e-17	1
Cell_415	3.77376e-65	1	1.61375e-17
Cell_416	1.17652e-55	1	9.82583e-19
Cell_417	3.58859e-16	1.73627e-12	1
Cell_418	1.3663e-67	1	3.87938e-17
Cell_419	1.44282e-12	4.93062e-15	1
Cell_420	3.34936e-84	0.646443	0.353557
Cell_421	3.3847e-106	0.872242	0.127758
Cell_422	1.80682e-31	0.646133	0.353867
Cell_423	1.15321e-47	0.999995	4.52509e-06
Cell_424	4.14767e-56	0.646416	0.353584
Cell_425	3.74673e-37	0.64629	0.35371
Cell_426	3.02683e-31	0.646117	0.353883
Cell_427	2.27877e-27	0.646386	0.353614
Cell_428	0.999313	1.20806e-51	0.000686958
Cell_429	6.41302e-79	1	2.53327e-07
Cell_430	1.87853e-18	8.85624e-35	1
Cell_431	2.03465e-86	0.646439	0.353561
Cell_432	3.30235e-32	0.64624	0.35376
Cell_433	6.94016e-37	0.975495	0.0245048
Cell_434	1.39095e-34	0.646513	0.353487
Cell_435	9.13703e-35	0.646318	0.353682
Cell_436	2.44085e-66	0.646607	0.353393
Cell_437	4.31411e-19	0.866187	0.133813
Cell_438	1.68512e-11	0.454158	0.545842
Cell_439	2.00867e-21	0.646425	0.353575
Cell_440	1.86203e-48	0.646529	0.353471
Cell_441	0.999825	1.94436e-20	0.000175001
Cell_442	7.79745e-72	4.17486e-08	1
Cell_443	0.999282	7.97472e-20	0.000717641
Cell_444	1.26728e-45	1	2.55886e-20
Cell_445	1.06721e-64	0.646452	0.353548
Cell_446	1.13949e-57	0.642486	0.357514
Cell_447	9.71265e-38	0.646429	0.353571
Cell_448	1.1717e-43	0.645257	0.354743
Cell_449	6.936e-46	0.646212	0.353788
Cell_450	9.90198e-71	1	9.72842e-24
Cell_451	2.4796e-37	0.651425	0.348575
Cell_452	3.27806e-54	0.653089	0.346911
Cell_453	1.32963e-15	0.692691	0.307309
Cell_454	1.56507e-94	1	1.93053e-10
Cell_455	0.989796	1.99638e-15	0.0102039
Cell_456	1.74544e-55	1	6.70101e-09
Cell_457	2.80947e-23	0.634261	0.365739
Cell_458	0.996045	1.56474e-21	0.00395502
Cell_459	3.58138e-66	0.64398	0.35602
Cell_460	1.03261e-46	0.64643	0.35357
Cell_461	1.26312e-42	1.31594e-10	1
Cell_462	1.50726e-93	0.646689	0.353311
Cell_463	2.11149e-60	1	7.04898e-19
Cell_464	3.40112e-99	0.646448	0.353552
Cell_465	4.2867e-80	0.647163	0.352837
Cell_466	2.51349e-66	1	3.30751e-13
Cell_467	2.07893e-53	1	8.46606e-13
Cell_468	5.45099e-86	0.646736	0.353264
Cell_469	1.45166e-45	0.646322	0.353678
Cell_470	3.36247e-52	0.00013429	0.999866
Cell_471	2.58144e-50	0.63899	0.36101
Cell_472	2.69865e-32	6.25663e-12	1
Cell_473	2.69598e-76	1	4.17857e-09
Cell_474	5.37917e-33	0.64389	0.35611
Cell_475	8.20865e-87	1	1.42793e-15
Cell_476	4.27153e-27	1	1.08277e-07
Cell_477	0.997881	1.78176e-44	0.0021194
Cell_478	1.17705e-31	0.646288	0.353712
Cell_479	3.35005e-29	0.646425	0.353575
Cell_480	3.79354e-60	0.646433	0.353567
Cell_481	0.965561	0.0156402	0.0187984
Cell_482	6.38573e-16	1.11103e-16	1
Cell_483	0.992727	2.0894e-29	0.00727338
Cell_484	4.46863e-82	0.646501	0.353499
Cell_485	5.64116e-36	1.82133e-05	0.999982
Cell_486	3.27314e-47	0.646431	0.353569
Cell_487	3.04253e-05	0.629398	0.370572
Cell_488	1.92395e-59	0.646441	0.353559
Cell_489	4.53164e-53	0.628684	0.371316
Cell_490	1.51909e-29	0.646319	0.353681
Cell_491	3.08638e-39	0.999999	1.14356e-06
Cell_492	0.998479	2.04867e-15	0.0015207
Cell_493	2.32458e-20	0.645488	0.354512
Cell_494	2.44083e-67	0.988936	0.0110638
Cell_495	4.44997e-72	0.999905	9.50911e-05
Cell_496	1.55096e-36	0.646824	0.353176
Cell_497	5.79219e-54	0.646513	0.353487
Cell_498	3.55835e-43	0.646822	0.353178
Cell_499	2.35348e-08	0.634239	0.365761
Cell_500	1.46135e-70	0.64598	0.35402
Cell_501	4.48581e-12	0.00558904	0.994411
Cell_502	1.07844e-38	1	1.43696e-19
Cell_503	2.08366e-26	0.645716	0.354284
Cell_504	0.983325	0.0075728	0.00910187
Cell_505	1.313e-69	0.646419	0.353581
Cell_506	1.6013e-40	1	1.97701e-17
Cell_507	2.78011e-43	0.645705	0.354295
Cell_508	2.90959e-56	0.646453	0.353547
Cell_509	2.26605e-30	0.646715	0.353285
Cell_510	6.98535e-61	1	2.01839e-20
Cell_511	1.27787e-43	0.00317737	0.996823
Cell_512	3.9942e-39	0.75061	0.24939
Cell_513	0.999428	1.77085e-14	0.0005722
Cell_514	2.57714e-54	0.999999	8.21066e-07
Cell_515	0.999274	4.5421e-15	0.000725915
Cell_516	1.52584e-76	0.646443	0.353557
Cell_517	1.64515e-21	0.648508	0.351492
Cell_518	7.03333e-61	1	6.36118e-22
Cell_519	4.93152e-33	0.651288	0.348712
Cell_520	2.05089e-23	0.643897	0.356103
Cell_521	6.51408e-34	0.646858	0.353142
Cell_522	0.979699	3.31854e-12	0.0203011
Cell_523	2.3545e-32	0.646421	0.353579
Cell_524	5.14315e-25	1.95278e-24	1
Cell_525	0.998356	5.5693e-20	0.00164391
Cell_526	4.64394e-21	3.7171e-09	1
Cell_527	5.34397e-29	5.67334e-07	0.999999
Cell_528	0.999034	2.37454e-35	0.000966246
Cell_529	4.12869e-30	0.643277	0.356723
Cell_530	4.70179e-46	0.646211	0.353789
Cell_531	3.88532e-62	1	3.65219e-11
Cell_532	6.58684e-69	0.646444	0.353556
Cell_533	6.87811e-48	0.646708	0.353292
Cell_534	6.28515e-42	0.7047	0.2953
Cell_535	3.03737e-28	0.645814	0.354186
Cell_536	1.01133e-44	2.45157e-26	1
Cell_537	3.39053e-35	0.99993	7.04381e-05
Cell_538	1.03124e-56	0.646351	0.353649
Cell_539	5.63164e-55	0.646345	0.353655
Cell_540	3.94698e-50	0.646435	0.353565
Cell_541	3.25511e-45	0.646447	0.353553
Cell_542	1.00093e-06	0.454359	0.54564
Cell_543	1.03633e-34	0.646103	0.353897
Cell_544	4.29494e-38	0.646454	0.353546
Cell_545	1.9419e-65	0.645719	0.354281
Cell_546	0.998957	9.38538e-40	0.00104313
Cell_547	1.05225e-50	0.641714	0.358286
Cell_548	0.955882	4.09426e-11	0.0441182
Cell_549	0.999662	1.89698e-27	0.000337699
Cell_550	1.28496e-40	0.64626	0.35374
Cell_551	6.54253e-55	0.646465	0.353535
Cell_552	6.08562e-42	1	4.6047e-13
Cell_553	6.1054e-15	1.32563e-15	1
Cell_554	7.87285e-77	0.646467	0.353533
Cell_555	3.0871e-68	0.671257	0.328743
Cell_556	1.56331e-24	0.645609	0.354391
Cell_557	2.84601e-39	0.45692	0.54308
Cell_558	1.71955e-57	0.646665	0.353335
Cell_559	0.000229649	2.00497e-05	0.99975
Cell_560	0.999299	7.60165e-29	0.000700842
Cell_561	2.96152e-23	0.629183	0.370817
Cell_562	0.993265	3.50597e-31	0.00673469
Cell_563	1.40004e-41	0.64653	0.35347
Cell_564	5.6017e-26	0.645022	0.354978
Cell_565	1.08014e-23	0.640567	0.359433
Cell_566	2.92818e-60	0.64641	0.35359
Cell_567	2.00754e-26	0.000141173	0.999859
Cell_568	3.65085e-54	0.646069	0.353931
Cell_569	7.74745e-46	0.645803	0.354197
Cell_570	3.54249e-28	0.9995	0.000500279
Cell_571	2.21689e-58	0.647157	0.352843
Cell_572	1.47639e-55	0.646441	0.353559
Cell_573	2.46756e-56	0.646441	0.353559
Cell_574	1.3222e-11	3.06599e-13	1
