cell	Node 0	Node 1
Cell_616	1.19969e-77	1
Cell_617	1.13747e-55	1
Cell_618	1.56795e-57	1
Cell_619	1.32432e-29	1
Cell_620	1.53991e-32	1
Cell_621	1.35911e-84	1
Cell_622	9.70618e-62	1
Cell_623	4.001e-74	1
Cell_624	1.29613e-47	1
Cell_625	6.95953e-48	1
Cell_626	1.25026e-85	1
Cell_627	1.56213e-70	1
Cell_628	2.52682e-106	1
Cell_629	2.32704e-70	1
Cell_630	4.98514e-69	1
Cell_631	1.83908e-54	1
Cell_632	3.40849e-41	1
Cell_633	7.82933e-51	1
Cell_634	2.82788e-39	1
Cell_635	4.75042e-38	1
Cell_636	9.8925e-26	1
Cell_637	1.54828e-44	1
Cell_638	3.90323e-56	1
Cell_639	1.06412e-82	1
Cell_640	2.92715e-87	1
Cell_641	2.51057e-41	1
Cell_642	5.24424e-89	1
Cell_643	2.71943e-10	1
Cell_644	1.17676e-98	1
Cell_645	2.79198e-05	0.999972
Cell_646	5.34158e-62	1
Cell_647	1.15733e-72	1
Cell_648	1.56398e-41	1
Cell_649	1.6352e-49	1
Cell_650	1.44726e-42	1
Cell_651	6.47823e-86	1
Cell_652	3.78243e-54	1
Cell_653	2.11608e-97	1
Cell_654	0.989157	0.0108426
Cell_655	3.32392e-49	1
Cell_656	4.57153e-59	1
Cell_657	7.51636e-96	1
Cell_658	1.5812e-78	1
Cell_659	1.55921e-59	1
Cell_660	1.11129e-74	1
Cell_661	2.68128e-39	1
Cell_662	1.16032e-100	1
Cell_663	6.23815e-49	1
Cell_664	7.33317e-107	1
Cell_665	1.10852e-44	1
Cell_666	3.69584e-105	1
Cell_667	2.85147e-68	1
Cell_668	3.6656e-77	1
Cell_669	0.998747	0.00125322
Cell_670	1.27151e-34	1
Cell_671	5.90354e-42	1
Cell_672	3.40819e-42	1
Cell_673	1.19571e-28	1
Cell_674	3.76641e-36	1
Cell_675	8.99782e-61	1
Cell_676	7.18493e-81	1
Cell_677	3.52866e-75	1
Cell_678	6.87544e-63	1
Cell_679	6.77286e-57	1
Cell_680	1.98635e-67	1
Cell_681	5.54774e-78	1
Cell_682	8.89049e-52	1
Cell_683	2.54778e-53	1
Cell_684	6.52581e-52	1
Cell_685	2.80293e-22	1
Cell_686	4.58717e-88	1
Cell_687	2.06479e-82	1
